"","site_id","taxa_name","date_obs"
"464",1,"Lasionycteris noctivagans","2021-08-19"
"465",1,"Lasionycteris noctivagans","2021-08-19"
"466",1,"Lasionycteris noctivagans","2021-08-19"
"467",1,"Lasionycteris noctivagans","2021-08-19"
"468",1,"Lasionycteris noctivagans","2021-06-02"
"469",1,"Lasionycteris noctivagans","2021-06-18"
"470",1,"Lasionycteris noctivagans","2021-07-01"
"471",1,"Lasionycteris noctivagans","2021-08-31"
"472",1,"Lasionycteris noctivagans","2021-09-09"
"473",1,"Lasionycteris noctivagans","2021-07-01"
"474",1,"Lasionycteris noctivagans","2021-06-30"
"475",1,"Lasionycteris noctivagans","2021-09-14"
"476",1,"Lasionycteris noctivagans","2021-06-30"
"477",1,"Lasionycteris noctivagans","2021-09-16"
"478",1,"Lasionycteris noctivagans","2021-07-05"
"479",1,"Lasionycteris noctivagans","2021-08-11"
"480",1,"Lasionycteris noctivagans","2021-08-12"
"481",1,"Lasionycteris noctivagans","2021-08-11"
"482",1,"Lasionycteris noctivagans","2021-08-06"
"483",1,"Lasionycteris noctivagans","2021-08-04"
"484",1,"Lasionycteris noctivagans","2021-08-11"
"485",1,"Lasionycteris noctivagans","2021-06-07"
"486",1,"Lasionycteris noctivagans","2021-08-10"
"487",1,"Lasionycteris noctivagans","2021-07-09"
"488",1,"Lasionycteris noctivagans","2021-06-13"
"489",1,"Lasionycteris noctivagans","2021-08-08"
"490",1,"Lasionycteris noctivagans","2021-07-13"
"491",1,"Lasionycteris noctivagans","2021-08-04"
"492",1,"Lasionycteris noctivagans","2021-08-01"
"493",1,"Lasionycteris noctivagans","2021-07-17"
"494",1,"Lasionycteris noctivagans","2021-08-02"
"495",1,"Lasionycteris noctivagans","2021-07-16"
"496",1,"Lasionycteris noctivagans","2021-08-20"
"497",1,"Lasionycteris noctivagans","2021-08-20"
"498",1,"Lasionycteris noctivagans","2021-06-13"
"499",1,"Lasionycteris noctivagans","2021-06-12"
"500",1,"Lasionycteris noctivagans","2021-06-13"
"501",1,"Lasionycteris noctivagans","2021-08-06"
"502",1,"Lasionycteris noctivagans","2021-06-12"
"503",1,"Lasionycteris noctivagans","2021-07-16"
"504",1,"Lasionycteris noctivagans","2021-08-07"
"505",1,"Lasionycteris noctivagans","2021-07-17"
"506",1,"Lasionycteris noctivagans","2021-07-19"
"507",1,"Lasionycteris noctivagans","2021-07-19"
"508",1,"Lasionycteris noctivagans","2021-07-19"
"509",1,"Lasionycteris noctivagans","2021-07-18"
"510",1,"Lasionycteris noctivagans","2021-07-18"
"511",1,"Lasionycteris noctivagans","2021-07-24"
"512",1,"Lasionycteris noctivagans","2021-08-06"
"513",1,"Lasionycteris noctivagans","2021-07-24"
"514",1,"Lasionycteris noctivagans","2021-07-25"
"515",1,"Lasionycteris noctivagans","2021-07-27"
"516",1,"Lasionycteris noctivagans","2021-08-18"
"517",1,"Lasionycteris noctivagans","2021-08-19"
"518",1,"Lasionycteris noctivagans","2021-08-19"
"519",1,"Lasionycteris noctivagans","2021-06-24"
"520",1,"Lasionycteris noctivagans","2021-08-17"
"521",1,"Lasionycteris noctivagans","2021-08-17"
"522",1,"Lasionycteris noctivagans","2021-08-18"
"523",1,"Lasionycteris noctivagans","2021-06-07"
"524",1,"Lasionycteris noctivagans","2021-06-14"
"525",1,"Lasionycteris noctivagans","2021-07-04"
"526",1,"Lasionycteris noctivagans","2021-07-03"
"527",1,"Lasionycteris noctivagans","2021-08-15"
"528",1,"Lasionycteris noctivagans","2021-06-29"
"529",1,"Lasionycteris noctivagans","2021-06-29"
"530",1,"Lasionycteris noctivagans","2021-06-29"
"531",1,"Lasionycteris noctivagans","2021-06-29"
"532",1,"Lasionycteris noctivagans","2021-05-22"
"533",1,"Lasionycteris noctivagans","2021-05-22"
"534",1,"Lasionycteris noctivagans","2021-08-30"
"535",1,"Lasionycteris noctivagans","2021-08-30"
"536",1,"Lasionycteris noctivagans","2021-08-30"
"537",1,"Lasionycteris noctivagans","2021-05-22"
"538",1,"Lasionycteris noctivagans","2021-08-29"
"539",1,"Lasionycteris noctivagans","2021-06-19"
"540",1,"Lasionycteris noctivagans","2021-08-25"
"541",1,"Lasionycteris noctivagans","2021-08-25"
"542",1,"Lasionycteris noctivagans","2021-05-22"
"543",1,"Lasionycteris noctivagans","2021-05-22"
"544",1,"Lasiurus borealis","2021-09-09"
"545",1,"Lasiurus borealis","2021-08-07"
"546",1,"Lasiurus borealis","2021-08-08"
"547",1,"Lasiurus borealis","2021-08-25"
"548",1,"Lasiurus borealis","2021-07-17"
"549",1,"Lasiurus borealis","2021-08-10"
"550",1,"Lasiurus borealis","2021-08-11"
"551",1,"Lasiurus borealis","2021-07-22"
"552",1,"Lasiurus borealis","2021-08-13"
"553",1,"Lasiurus borealis","2021-08-13"
"554",1,"Lasiurus borealis","2021-09-09"
"555",1,"Lasiurus borealis","2021-08-13"
"556",1,"Lasiurus borealis","2021-08-13"
"557",1,"Lasiurus borealis","2021-08-13"
"558",1,"Lasiurus borealis","2021-09-04"
"559",1,"Lasiurus borealis","2021-08-09"
"560",1,"Lasiurus borealis","2021-08-05"
"561",1,"Lasiurus borealis","2021-08-05"
"562",1,"Lasiurus borealis","2021-08-05"
"563",1,"Lasiurus borealis","2021-08-30"
"564",1,"Lasiurus borealis","2021-08-30"
"565",1,"Lasiurus borealis","2021-07-24"
"566",1,"Lasiurus borealis","2021-08-03"
"567",1,"Lasiurus borealis","2021-08-20"
"568",1,"Lasiurus borealis","2021-08-05"
"569",1,"Lasiurus borealis","2021-08-10"
"570",1,"Lasiurus borealis","2021-08-03"
"571",1,"Lasiurus borealis","2021-08-06"
"572",1,"Lasiurus borealis","2021-08-15"
"573",1,"Lasiurus borealis","2021-08-09"
"574",1,"Lasiurus borealis","2021-08-13"
"575",1,"Lasiurus borealis","2021-08-14"
"576",1,"Lasiurus borealis","2021-08-09"
"577",1,"Lasiurus borealis","2021-08-12"
"578",1,"Lasiurus borealis","2021-08-13"
"579",1,"Lasiurus borealis","2021-08-13"
"580",1,"Lasiurus borealis","2021-08-13"
"581",1,"Lasiurus borealis","2021-08-11"
"582",1,"Lasiurus borealis","2021-08-13"
"583",1,"Lasiurus borealis","2021-08-13"
"584",1,"Lasiurus borealis","2021-08-10"
"585",1,"Lasiurus borealis","2021-08-10"
"586",1,"Lasiurus borealis","2021-08-13"
"587",1,"Lasiurus borealis","2021-07-30"
"588",1,"Lasiurus borealis","2021-08-09"
"589",1,"Lasiurus borealis","2021-08-11"
"590",1,"Lasiurus borealis","2021-08-16"
"591",1,"Lasiurus borealis","2021-08-09"
"592",1,"Lasiurus borealis","2021-08-06"
"593",1,"Lasiurus borealis","2021-08-18"
"594",1,"Lasiurus borealis","2021-08-19"
"595",1,"Lasiurus borealis","2021-08-18"
"596",1,"Lasiurus borealis","2021-07-27"
"597",1,"Lasiurus borealis","2021-07-28"
"598",1,"Lasiurus borealis","2021-08-06"
"599",1,"Lasiurus borealis","2021-08-08"
"600",1,"Lasiurus borealis","2021-08-04"
"601",1,"Lasiurus borealis","2021-08-11"
"602",1,"Lasiurus borealis","2021-08-07"
"603",1,"Lasiurus borealis","2021-07-26"
"604",1,"Lasiurus borealis","2021-07-27"
"605",1,"Lasiurus borealis","2021-08-23"
"606",1,"Lasiurus borealis","2021-08-06"
"607",1,"Lasiurus borealis","2021-08-07"
"608",1,"Lasiurus borealis","2021-08-07"
"609",1,"Lasiurus borealis","2021-07-28"
"610",1,"Lasiurus borealis","2021-07-29"
"611",1,"Myotis lucifugus","2021-08-01"
"612",1,"Myotis lucifugus","2021-08-28"
"613",1,"Myotis lucifugus","2021-05-26"
"614",1,"Myotis lucifugus","2021-07-23"
"615",1,"Myotis lucifugus","2021-06-18"
"616",1,"Myotis lucifugus","2021-07-23"
"617",1,"Myotis lucifugus","2021-08-07"
"618",1,"Myotis lucifugus","2021-08-01"
"619",1,"Myotis lucifugus","2021-08-03"
"620",1,"Myotis lucifugus","2021-06-30"
"621",1,"Myotis lucifugus","2021-05-15"
"622",1,"Myotis lucifugus","2021-08-06"
"623",1,"Myotis lucifugus","2021-08-01"
"624",1,"Myotis lucifugus","2021-06-17"
"625",1,"Myotis lucifugus","2021-05-12"
"626",1,"Myotis lucifugus","2021-08-14"
"627",1,"Myotis lucifugus","2021-07-19"
"628",1,"Myotis lucifugus","2021-08-04"
"629",1,"Myotis lucifugus","2021-06-13"
"630",1,"Myotis lucifugus","2021-06-24"
"631",1,"Myotis septentrionalis","2021-08-09"
