;abba;acpe;acsa;beal;bepa;fagr;piru
100-480;3;0;4;9;0;0;1
100-500;5;2;0;13;10;0;3
100-520;3;8;0;4;6;0;1
100-540;7;2;0;1;10;0;0
100-560;20;2;0;3;15;0;0
100-580;35;0;0;5;30;0;1
100-60;0;35;11;4;0;139;15
100-600;20;1;0;3;15;0;0
100-620;5;0;0;10;0;0;0
100-640;4;2;0;14;2;0;0
100-660;16;2;0;0;27;0;0
100-680;16;3;0;8;10;0;0
100-700;10;0;0;9;1;0;1
100-720;2;0;0;10;3;0;6
100-740;4;0;3;6;0;0;2
100-760;1;0;0;6;0;0;1
100-780;5;0;0;16;3;0;2
100-80;0;21;10;4;0;98;7
100-800;7;0;0;14;0;0;5
100-820;6;1;0;15;3;0;0
100-840;14;0;0;12;1;0;2
100-860;4;0;0;13;3;0;5
100-880;12;0;0;9;1;0;4
100-900;18;0;0;10;7;0;2
100-920;24;0;0;14;8;0;1
100-940;20;0;0;3;14;0;3
100-960;29;0;0;19;18;0;3
100-980;32;0;0;8;26;0;8
120-0;0;4;6;4;0;3;0
120-100;1;1;7;4;1;13;0
120-120;2;0;8;1;0;11;0
120-140;0;0;4;4;4;7;0
120-160;0;1;6;5;2;11;0
120-180;0;0;15;3;0;10;0
120-20;0;3;15;0;0;5;0
120-200;0;1;5;5;0;5;0
120-220;0;0;4;6;0;0;0
120-240;0;0;4;9;2;2;0
120-260;0;1;11;16;8;2;1
120-280;0;0;20;6;4;1;0
120-300;0;0;21;1;0;0;0
120-320;0;0;27;5;4;0;0
120-340;1;1;14;9;0;1;0
120-360;0;0;21;1;0;10;0
120-380;1;2;14;8;0;8;0
120-40;1;1;9;3;0;10;1
120-400;2;2;6;8;0;2;0
120-420;5;0;2;7;17;2;0
120-440;10;0;3;3;14;0;1
120-460;5;1;10;4;14;0;0
120-480;8;1;1;17;2;0;1
120-500;11;2;0;11;29;1;3
120-520;13;4;0;8;9;0;0
120-540;17;1;0;4;20;0;0
120-560;17;4;0;1;23;0;0
120-580;14;3;3;0;26;0;3
120-60;0;2;5;8;3;1;0
120-600;2;0;9;2;1;0;2
120-620;6;0;8;8;0;0;2
120-640;2;2;2;10;0;0;1
120-660;6;0;0;14;3;0;1
120-680;4;3;0;14;1;1;2
120-700;4;0;0;14;2;0;0
120-720;4;0;0;12;0;0;2
120-740;16;0;0;18;10;0;3
120-760;6;0;0;9;2;0;2
120-780;5;0;0;7;2;0;2
120-80;0;4;4;4;0;4;1
120-800;4;0;0;20;0;0;3
120-820;4;0;0;10;1;0;0
120-840;3;0;0;5;1;0;0
120-860;7;0;0;6;5;0;3
120-880;17;0;0;14;5;0;6
120-900;18;0;0;15;2;0;5
120-920;17;0;0;9;4;0;1
120-940;31;1;0;9;14;0;1
120-960;17;0;0;11;1;0;2
120-980;21;0;0;15;11;0;6
140-0;0;1;14;2;0;12;0
140-100;0;2;12;1;0;7;0
140-120;1;2;8;4;0;6;0
140-140;0;4;7;5;0;8;0
140-160;0;2;3;0;0;11;0
140-180;0;0;11;2;0;13;0
140-20;0;1;11;1;0;4;1
140-200;0;0;8;8;0;2;0
140-220;0;2;8;3;0;0;1
140-240;0;1;18;7;2;2;0
140-260;0;1;30;7;3;2;0
140-280;0;0;30;5;1;0;0
140-300;0;0;17;1;0;3;0
140-320;0;0;10;10;2;1;0
140-340;0;1;13;7;0;3;0
140-360;1;0;13;8;0;1;0
140-380;1;4;15;8;2;1;0
140-40;1;5;7;4;0;6;1
140-400;0;8;4;6;7;1;1
140-420;2;2;4;9;11;1;1
140-440;4;2;7;5;15;0;0
140-460;2;1;9;3;2;0;1
140-480;5;1;0;8;6;0;4
140-500;4;3;0;6;8;0;1
140-520;9;6;2;7;1;0;2
140-540;7;4;0;4;21;0;1
140-560;9;6;3;6;6;1;1
140-580;2;1;6;6;8;0;0
140-60;0;7;4;7;0;7;0
140-600;1;7;14;4;0;0;2
140-620;2;7;4;4;0;0;1
140-640;0;1;13;5;1;0;1
140-660;1;0;3;17;0;0;1
140-680;4;0;0;15;0;0;1
140-700;2;2;0;7;1;1;1
140-720;5;2;0;17;1;0;2
140-740;14;0;0;18;9;0;4
140-760;5;1;0;12;4;0;1
140-780;6;0;0;13;1;0;2
140-80;1;0;4;2;0;8;0
140-800;4;0;0;7;6;0;1
140-820;2;0;0;10;0;0;0
140-840;9;0;0;8;1;0;2
140-860;1;0;0;4;0;0;0
140-880;3;0;0;8;4;0;3
140-900;9;0;0;6;0;0;3
140-920;20;0;0;5;13;0;3
140-940;19;0;0;5;20;0;5
140-960;14;0;0;16;9;0;8
140-980;10;0;0;8;1;0;4
160-0;0;3;13;2;1;3;0
160-100;0;5;2;4;1;10;0
160-120;0;9;2;3;3;11;0
160-140;0;15;3;1;0;19;0
160-160;0;0;8;4;0;21;0
160-180;0;4;2;2;0;10;1
160-20;0;2;8;7;0;4;0
160-200;0;1;8;11;4;4;0
160-220;0;2;20;3;0;3;0
160-240;0;1;15;8;1;9;0
160-260;0;0;7;13;3;2;0
160-280;0;2;17;5;4;1;0
160-300;0;0;19;4;1;3;0
160-320;0;1;13;12;9;1;0
160-340;0;0;14;5;1;5;0
160-360;0;0;10;2;0;4;0
160-380;0;2;16;1;0;13;0
160-40;0;0;8;6;0;7;0
160-400;1;7;5;9;8;0;2
160-420;4;4;2;6;31;0;2
160-440;5;1;3;3;15;0;2
160-460;3;1;12;8;12;0;0
160-480;6;0;11;12;5;0;3
160-500;1;2;1;12;7;0;1
160-520;2;7;0;10;7;0;1
160-540;4;4;1;8;4;0;1
160-560;7;2;3;12;13;0;0
160-580;0;0;16;3;0;0;1
160-60;1;3;5;7;0;4;0
160-600;0;2;19;5;1;0;0
160-620;0;0;22;8;0;0;0
160-640;3;1;9;4;0;0;1
160-660;3;1;9;12;1;0;3
160-680;2;1;0;10;2;0;2
160-700;13;1;0;10;10;0;1
160-720;15;2;0;13;12;0;1
160-740;14;0;0;11;9;0;1
160-760;4;0;0;19;2;0;2
160-780;6;0;0;10;3;0;3
160-80;0;6;11;2;0;8;0
160-800;15;0;0;14;4;0;3
