X,Y,pH
140,980,4.17
160,0,4.18
160,20,4.35
160,40,4.24
160,60,4.58
160,80,4.07
160,100,4.22
160,120,3.66
160,140,3.96
160,160,3.9
160,180,3.93
160,200,4.02
160,220,4.68
160,240,3.99
160,260,4.42
160,280,4.19
160,300,3.93
160,320,4.31
160,340,3.86
160,360,4.75
160,380,4.53
160,400,4.59
160,420,3.74
160,440,4.91
160,460,4.25
160,480,4.56
160,500,4.52
160,520,4.73
160,540,4.2
160,560,3.93
160,580,3.51
160,600,4.03
160,620,4.55
160,640,5.13
160,660,3.94
160,680,4.08
160,700,3.51
160,720,3.32
160,740,4.06
160,760,4.15
160,780,4.58
160,800,3.83
160,820,4.36
160,840,4.1
160,860,4.3
160,880,4.03
160,900,3.6
160,920,4.11
160,940,4.45
160,960,4.45
160,980,4.18
180,0,3.98
180,20,4.35
180,40,4.14
180,60,4.37
180,80,4.58
180,100,4.67
180,120,4.49
180,140,4.18
180,160,5.21
180,180,4.42
180,200,4.49
180,220,4.13
180,240,5.62
180,260,5.5
180,280,4.69
180,300,4.95
180,320,5.47
180,340,4.7
180,360,5.43
180,380,4.45
180,400,4.17
180,420,4.3
180,440,3.53
180,460,3.82
180,480,5.4
180,500,5.08
180,520,4.6
180,540,4.5
180,560,4.42
180,580,4.48
180,600,4.85
180,620,4.74
180,640,3.95
180,660,4.32
180,680,5.06
180,700,4.47
180,720,4.24
180,740,4.22
180,760,5
180,780,3.75
180,800,3.53
180,820,4.01
180,840,4.44
180,860,3.89
180,880,4.12
180,900,4.32
180,920,4.33
180,940,4.1
180,960,3.91
180,980,3.6
