X,Y,pH
0,0,3.96
0,20,4.62
0,40,5.13
0,60,4.84
0,80,4.45
0,100,3.78
0,120,3.61
0,140,4.13
0,160,4.71
0,180,3.93
0,200,3.97
0,220,3.88
0,240,4.99
0,260,4.81
0,280,5.19
0,300,4.48
0,320,5.09
0,340,4.64
0,360,4.97
0,380,3.63
0,400,5.11
0,420,4.03
0,440,4.6
0,460,3.92
0,480,4.77
0,500,4.99
0,520,3.61
0,540,4.24
0,560,4.35
0,580,3.83
0,600,4.29
0,620,3.41
0,640,4.06
0,660,4.59
0,680,4.25
0,700,4.42
0,720,3.7
0,740,4.15
0,760,3.52
0,780,3.83
0,800,4.07
0,820,3.88
0,840,3.62
0,860,3.85
0,880,4.1
0,900,3.81
0,920,3.91
0,940,4.34
0,960,4.24
0,980,4.01
20,0,4.41
20,20,5.56
20,40,3.91
20,60,3.76
20,80,6.09
20,100,4.43
20,120,4.41
20,140,4.27
20,160,4.01
20,180,4.56
20,200,4.84
20,220,3.97
20,240,4.69
20,260,5.72
20,280,4.47
20,300,5.36
20,320,6.34
20,340,3.8
20,360,3.86
20,380,4.12
20,400,4.64
20,420,5.02
20,440,4.49
20,460,5.22
20,480,5.29
20,500,4.46
20,520,4.61
20,540,3.79
20,560,4.41
20,580,3.98
20,600,4.23
20,620,3.73
20,640,4.11
20,660,4.98
20,680,4.52
20,700,4.36
20,720,4.48
20,740,5.65
20,760,4.82
20,780,3.89
20,800,5.5
20,820,4.14
20,840,5.35
20,860,4.42
20,880,3.83
20,900,4.29
20,920,4.17
20,940,4.34
20,960,4.31
20,980,4.13
40,0,5.01
40,20,5.15
40,40,5.07
40,60,5.65
40,80,4.02
40,100,4.71
40,120,4.07
40,140,4.5
40,160,3.73
40,180,4.09
40,200,3.85
40,220,4.62
40,240,4.22
40,260,3.76
40,280,4.57
40,300,4.96
40,320,4.45
40,340,3.75
40,360,4.14
40,380,4.13
40,400,3.77
40,420,4.77
40,440,4.07
40,460,5.37
40,480,5.48
40,500,4.08
40,520,4.45
40,540,4.43
40,560,4.82
40,580,4.49
40,600,4.08
40,620,4.53
40,640,3.96
40,660,4.84
40,680,4.62
40,700,4.26
40,720,4.69
40,740,3.89
