"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"9119",4486,"ACSA","V","N","DHP1.mm.","258","2011-08-01","CJ",80,420,"349,295","-514,654","215,366","657,019","695956,638928433","4997317,86367127",NA
"9120",4487,"ACSA","V","N","DHP1.mm.","132","2011-08-01","CJ",80,420,"349,03","-520,023","217,881","659,534","695955,486183862","4997312,61840566",NA
"9121",4488,"FAGR","V","O","DHP1.mm.","245","2011-08-01","CJ",80,420,"348,818","-520,622","218,028","659,681","695955,533445048","4997311,98536037",NA
"9122",4489,"BEAL","V","N","DHP1.mm.","126","2011-08-01","CJ",80,420,"351,074","-524,81","219,326","660,979","695952,260194021","4997308,5398083",NA
"9123",4490,"BEPA","V","N","DHP1.mm.","362","2011-08-01","CJ",80,420,"352,982","-530,803","220,386","662,039","695948,848993907","4997303,2629463",NA
"9124",4491,"ACSA","V","N","DHP1.mm.","133","2011-08-01","CJ",80,420,"349,907","-531,231","220,614","662,267","695951,701061324","4997302,04382522",NA
"9125",4492,"ACSA","V","N","DHP1.mm.","263","2011-08-01","CJ",80,420,"350,077","-531,807","220,578","662,231","695951,386103918","4997301,53314489",NA
"9126",4493,"BEAL","V","N","DHP1.mm.","395","2011-08-01","CJ",80,420,"354,219","-532,072","220,417","662,07","695947,323676405","4997302,36406609",NA
"9127",4494,"ACSA","V","N","DHP1.mm.","118","2011-08-01","CJ",80,420,"357,357","-531,111","220,188","661,841","695944,550674234","4997304,11352749",NA
"9128",4495,"ABBA","V","N","DHP1.mm.","110","2011-08-01","CJ",80,420,"358,082","-530,712","220,225","661,878","695943,956419882","4997304,68832321",NA
"9129",4496,"BEPA","V","O","DHP1.mm.","293","2011-08-01","CJ",80,420,"357,817","-529,893","220,438","662,091","695944,426693261","4997305,40834048",NA
"9130",4497,"ABBA","V","N","DHP1.mm.","150","2011-08-01","CJ",80,420,"358,348","-527,341","219,719","661,372","695944,584155542","4997308,00776266",NA
"9131",4498,"BEPA","V","N","DHP1.mm.","254","2011-08-01","CJ",80,420,"358,877","-526,875","219,837","661,49","695944,196419879","4997308,59573912",NA
"9132",4499,"BEPA","V","N","DHP1.mm.","259","2011-08-01","CJ",80,420,"357,45","-526,362","219,621","661,274","695945,706611683","4997308,71599502",NA
"9133",4500,"BEAL","V","N","DHP1.mm.","313","2011-08-01","CJ",80,420,"360,765","-524,682","218,979","660,632","695942,951562782","4997311,20500274",NA
"9134",4501,"ACSA","V","N","DHP1.mm.","125","2011-08-01","CJ",80,420,"355,709","-522,434","218,678","660,331","695948,415204443","4997312,04598159",NA
"9135",4502,"ACSA","V","N","DHP1.mm.","103","2011-08-01","CJ",80,420,"358,455","-516,431","216,727","658,38","695947,342533137","4997318,55315684",NA
"9136",4503,"FAGR","V","O","DHP1.mm.","132","2011-08-01","CJ",80,420,"358,621","-516,414","216,796","658,449","695947,186966612","4997318,61308425",NA
"9137",4504,"ACSA","V","N","DHP1.mm.","430","2011-08-01","CJ",80,420,"357,535","-515,445","216,367","658,02","695948,488033452","4997319,26236699",NA
"9138",4505,"ACSA","V","N","DHP1.mm.","183","2011-08-01","CJ",80,420,"360,593","-513,313","215,851","657,504","695946,099287365","4997322,11969924",NA
"9139",4506,"BEAL","V","O","DHP1.mm.","369","2011-08-01","CJ",80,420,"362,952","-515,018","217,049","658,702","695943,377996492","4997321,09479492",NA
"9140",4507,"BEAL","V","N","DHP1.mm.","345","2011-08-01","CJ",80,420,"363,215","-515,795","217","658,653","695942,920667089","4997320,41474142",NA
"9141",4508,"ACSA","V","N","DHP1.mm.","125","2011-08-01","CJ",80,420,"360,925","-516,29","216,985","658,638","695944,998414975","4997319,3369253",NA
"9142",4509,"ACSA","V","N","DHP1.mm.","113","2011-08-01","CJ",80,420,"365,245","-518,234","217,833","659,486","695940,324017925","4997318,59596338",NA
"9143",4510,"BEAL","V","N","DHP1.mm.","465","2011-08-01","CJ",80,420,"365,349","-520,358","218,255","659,908","695939,66666829","4997316,57568752",NA
"9144",4511,"ACSA","V","N","DHP1.mm.","155","2011-08-01","CJ",80,420,"362,812","-522,227","218,605","660,258","695941,622146978","4997314,10853978",NA
"9145",4512,"BEAL","V","N","DHP1.mm.","195","2011-08-01","CJ",80,420,"362,066","-524,11","218,791","660,444","695941,847414954","4997312,09764788",NA
"9146",4513,"BEAL","V","N","DHP1.mm.","235","2011-08-01","CJ",80,420,"363,273","-528,763","219,499","661,152","695939,46344615","4997307,9286953",NA
"9147",4514,"BEAL","V","N","DHP1.mm.","320","2011-08-01","CJ",80,420,"368,687","-527,645","219,252","660,905","695934,537539968","4997310,42646606",NA
"9148",4515,"BEAL","V","N","DHP1.mm.","160","2011-08-01","CJ",80,420,"365,086","-530,715","219,597","661,25","695937,203719437","4997306,52247348",NA
