"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"14780",16646,"BEPA","M","N","DHP1.mm.","407","2012-08-29",NA,160,820,"530,79","-904,333","323,905","765,558","695679,469402254","4996989,81327932",NA
"14781",16647,"ABBA","V","N","DHP1.mm.","281","2012-08-29",NA,160,820,"529,836","-903,787","323,019","764,672","695680,532273564","4996990,08940817",NA
"14782",16648,"BEAL","V","N","DHP1.mm.","207","2012-08-29",NA,160,820,"528,156","-898,912","322,354","764,007","695683,430445469","4996994,3483099",NA
"14783",16649,"BEAL","V","N","DHP1.mm.","218","2012-08-29",NA,160,820,"528,342","-898,888","322,371","764,024","695683,257434773","4996994,42023106",NA
"14784",16650,"BEAL","V","N","DHP1.mm.","172","2012-08-29",NA,160,820,"528,323","-898,511","322,515","764,168","695683,374632275","4996994,77867875",NA
"14785",16651,"BEAL","M","N","DHP1.mm.","240","2012-08-29",NA,160,820,"528,255","-898,431","322,573","764,226","695683,461167613","4996994,83796405",NA
"14786",16652,"BEAL","V","N","DHP1.mm.","376","2012-08-29",NA,160,820,"526,835","-888,953","319,318","760,971","695687,315994021","4997003,60238965",NA
"14787",16653,"ABBA","V","N","DHP1.mm.","190","2012-08-29",NA,160,820,"522,085","-891,39","320,737","762,39","695691,255845176","4997000,00724912",NA
"14788",16654,"BEAL","V","N","DHP1.mm.","364","2012-08-29",NA,160,820,"521,199","-890,974","320,98","762,633","695692,219066911","4997000,17589226",NA
"14789",16655,"ABBA","V","N","DHP1.mm.","283","2012-08-29",NA,160,820,"520,536","-891,938","321,105","762,758","695692,605361877","4996999,07269355",NA
"14790",16656,"BEAL","V","N","DHP1.mm.","127","2012-08-29",NA,160,820,"517,991","-890,2","321,015","762,668","695695,514613675","4997000,08062519",NA
"14791",16657,"BEAL","V","N","DHP1.mm.","122","2012-08-29",NA,160,820,"518,637","-896,054","321,842","763,495","695693,356449516","4996994,606757",NA
"14792",16658,"BEAL","V","N","DHP1.mm.","412","2012-08-29",NA,160,820,"514,344","-896,334","321,978","763,631","695697,42149709","4996993,21084632",NA
"14793",16659,"BEAL","V","N","DHP1.mm.","254","2012-08-29",NA,160,820,"518,135","-889,308","320,448","762,101","695695,609754476","4997000,97828953",NA
"14794",16660,"ABBA","V","N","DHP1.mm.","125","2012-08-29",NA,160,820,"516,297","-907,482","324,103","765,756","695692,614838789","4996982,97632475",NA
"14795",16661,"BEAL","V","N","DHP1.mm.","463","2012-08-29",NA,160,820,"516,577","-906,989","324,522","766,175","695692,474222862","4996983,52502052",NA
"14796",16662,"PIRU","V","N","DHP1.mm.","262","2012-08-29",NA,160,820,"516,355","-906,621","324,586","766,239","695692,78475347","4996983,82154834",NA
"14797",16663,"PIRU","V","N","DHP1.mm.","121","2012-08-29",NA,160,820,"516,735","-906,681","324,358","766,011","695692,402693262","4996983,86337604",NA
"14798",16664,"BEAL","V","N","DHP1.mm.","122","2012-08-29",NA,160,820,"517,344","-905,772","324,067","765,72","695692,05402908","4996984,89939092",NA
"14799",16665,"BEAL","V","N","DHP1.mm.","333","2012-08-29",NA,160,820,"519,7","-902,543","323,658","765,311","695690,629743121","4996988,63011631",NA
"14800",16666,"BEAL","V","N","DHP1.mm.","385","2012-08-29",NA,160,820,"520,409","-902,152","323,26","764,913","695690,048814623","4996989,19300341",NA
"14801",16667,"ABBA","V","N","DHP1.mm.","172","2012-08-29",NA,160,820,"521,66","-899,268","322,797","764,45","695689,599269517","4996992,30132133",NA
"14802",16668,"ABBA","M","N","DHP1.mm.","235","2012-08-29",NA,160,820,"521,667","-898,721","322,46","764,113","695689,73599121","4996992,83046982",NA
"14803",16669,"ABBA","V","N","DHP1.mm.","196","2012-08-29",NA,160,820,"524,99","-903,615","323,59","765,243","695685,248970386","4996988,98418576",NA
