"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"11664",15978,"ACSA","V","N","DHP1.mm.","187","2012-08-23",NA,160,580,"474,922","-664,709","243,917","685,57","695796,176331321","4997206,159462",NA
"11665",15979,"ACSA","V","N","DHP1.mm.","158","2012-08-23",NA,160,580,"470,43","-669,16","245,028","686,681","695799,339226896","4997200,69047837",NA
"11666",15980,"PIRU","V","N","DHP1.mm.","220","2012-08-23",NA,160,580,"468,736","-665,233","243,952","685,605","695802,002248985","4997204,03182832",NA
"11667",15981,"ACSA","V","N","DHP1.mm.","179","2012-08-23",NA,160,580,"468,18","-668,332","245,529","687,182","695801,725417158","4997200,89853652",NA
"11668",15982,"ACSA","V","N","DHP1.mm.","324","2012-08-23",NA,160,580,"468,173","-672,409","246,74","688,393","695800,662830345","4997196,966439",NA
"11669",15983,"BEAL","V","N","DHP1.mm.","503","2012-08-23",NA,160,580,"463,992","-669,271","247,666","689,319","695805,516398227","4997198,89488432",NA
"11670",15984,"ACSA","V","N","DHP1.mm.","279","2012-08-23",NA,160,580,"464,103","-667,204","245,622","687,275","695805,951535865","4997200,91660293",NA
"11671",15985,"ACSA","V","N","DHP1.mm.","130","2012-08-23",NA,160,580,"461,041","-665,189","245,649","687,302","695809,431832786","4997202,05596363",NA
"11672",15986,"ACSA","V","N","DHP1.mm.","355","2012-08-23",NA,160,580,"463,142","-661,258","243,828","685,481","695808,437492809","4997206,39654019",NA
"11673",15987,"BEAL","M","N","DHP1.mm.","239","2012-08-23",NA,160,580,"461,432","-653,992","242,629","684,282","695811,991707765","4997212,95251703",NA
"11674",15988,"ACSA","V","N","DHP1.mm.","101","2012-08-23",NA,160,580,"466,953","-661,102","242,967","684,62","695804,804573892","4997207,5464926",NA
"11675",15989,"ACSA","V","N","DHP1.mm.","194","2012-08-23",NA,160,580,"467,226","-659,985","242,701","684,354","695804,834371698","4997208,69489352",NA
"11676",15990,"ACSA","V","N","DHP1.mm.","254","2012-08-23",NA,160,580,"474,733","-664,425","243,648","685,301","695796,433017741","4997206,38366853",NA
"11677",15991,"ACSA","V","N","DHP1.mm.","152","2012-08-23",NA,160,580,"468,829","-658,083","241,639","683,292","695803,787932086","4997210,94887959",NA
"11678",15992,"ACSA","V","N","DHP1.mm.","227","2012-08-23",NA,160,580,"467,867","-653,564","240,241","681,894","695805,90057272","4997215,05291483",NA
"11679",15993,"ACSA","V","N","DHP1.mm.","128","2012-08-23",NA,160,580,"472,786","-654,303","239,555","681,208","695800,964787852","4997215,63069137",NA
"11680",15994,"ACSA","V","N","DHP1.mm.","182","2012-08-23",NA,160,580,"472,927","-654,302","239,626","681,279","695800,829124978","4997215,66863753",NA
"11681",15995,"ACSA","V","N","DHP1.mm.","300","2012-08-23",NA,160,580,"480,392","-662,666","242,039","683,692","695791,43905406","4997209,56362831",NA
"11682",15996,"ACSA","V","N","DHP1.mm.","101","2012-08-23",NA,160,580,"477,27","-654,8","238,974","680,627","695796,511819468","4997216,32766404",NA
"11683",15997,"BEAL","V","N","DHP1.mm.","114","2012-08-23",NA,160,580,"477,552","-651,437","237,102","678,755","695797,122032718","4997219,64358799",NA
