"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"17561",6303,"ABBA","V","N","DHP1.mm.","159","2012-06-14",NA,100,980,"490,646","-1056,647","331,877","773,53","695678,218910996","4996832,45217244",NA
"17562",6304,"BEAL","V","N","DHP1.mm.","117","2012-06-14",NA,100,980,"492,293","-1056,809","332,075","773,728","695676,588699326","4996832,72798607",NA
"17563",6305,"ABBA","V","N","DHP1.mm.","101","2012-06-14",NA,100,980,"492,532","-1057,444","331,866","773,519","695676,191750553","4996832,1785269",NA
"17564",6306,"PIRU","V","N","DHP1.mm.","138","2012-06-14",NA,100,980,"493,865","-1056,785","332,234","773,887","695675,079573234","4996833,16343387",NA
"17565",6307,"ABBA","V","N","DHP1.mm.","119","2012-06-14",NA,100,980,"492,12","-1059,461","331,195","772,848","695676,059893628","4996830,126061",NA
"17566",6308,"BEPA","V","N","DHP1.mm.","184","2012-06-14",NA,100,980,"492,136","-1059,782","331,157","772,81","695675,960276096","4996829,82081092",NA
"17567",6309,"BEAL","V","N","DHP1.mm.","206","2012-06-14",NA,100,980,"494,617","-1055,222","332,522","774,175","695674,764590093","4996834,86741685",NA
"17568",6310,"BEPA","V","N","DHP1.mm.","249","2012-06-14",NA,100,980,"495,051","-1055,012","332,637","774,29","695674,40129032","4996835,18369015",NA
"17569",6311,"BEAL","V","N","DHP1.mm.","300","2012-06-14",NA,100,980,"501,24","-1055,952","332,141","773,794","695668,188495777","4996835,90080265",NA
"17570",6312,"BEPA","M","N","DHP1.mm.","193","2012-06-14",NA,100,980,"502,928","-1056,661","331,832","773,485","695666,375290019","4996835,66005746",NA
"17571",6313,"BEPA","M","N","DHP1.mm.","297","2012-06-14",NA,100,980,"501,114","-1058,781","331,405","773,058","695667,567957294","4996833,14057552",NA
"17572",6314,"BEAL","V","N","DHP1.mm.","131","2012-06-14",NA,100,980,"501,009","-1059,325","331,239","772,892","695667,526495261","4996832,58861515",NA
"17573",6315,"BEAL","V","N","DHP1.mm.","159","2012-06-14",NA,100,980,"501,073","-1059,247","331,246","772,899","695667,485256944","4996832,68059401",NA
"17574",6316,"BEPA","M","N","DHP1.mm.","170","2012-06-14",NA,100,980,"503,468","-1060,272","331,472","773,125","695664,907615396","4996832,32065753",NA
"17575",6317,"PIRU","V","N","DHP1.mm.","102","2012-06-14",NA,100,980,"504,135","-1060,934","331,329","772,982","695664,090989416","4996831,857428",NA
"17576",6318,"BEPA","M","N","DHP1.mm.","172","2012-06-14",NA,100,980,"504,457","-1062,144","331,066","772,719","695663,463214237","4996830,77543374",NA
"17577",6319,"ABBA","V","N","DHP1.mm.","138","2012-06-14",NA,100,980,"507,165","-1061,646","331,092","772,745","695660,983297769","4996831,9657769",NA
"17578",6320,"BEPA","M","N","DHP1.mm.","190","2012-06-14",NA,100,980,"507,319","-1060,948","331,014","772,667","695661,017915249","4996832,67904649",NA
"17579",6321,"BEPA","V","N","DHP1.mm.","219","2012-06-14",NA,100,980,"505,645","-1059,286","331,844","773,497","695663,067582245","4996833,8421635",NA
"17580",6322,"PIRU","V","N","DHP1.mm.","235","2012-06-14",NA,100,980,"506,051","-1058,781","331,76","773,413","695662,808648699","4996834,43547526",NA
"17581",6323,"ABBA","V","N","DHP1.mm.","130","2012-06-14",NA,100,980,"505,89","-1055,854","331,915","773,568","695663,731561446","4996837,21489948",NA
"17582",6324,"ABBA","V","N","DHP1.mm.","131","2012-06-14",NA,100,980,"507,382","-1055,611","331,609","773,262","695662,356996369","4996837,84048231",NA
"17583",6325,"BEPA","V","N","DHP1.mm.","214","2012-06-14",NA,100,980,"507,58","-1055,401","331,749","773,402","695662,221202536","4996838,09485641",NA
"17584",6326,"BEPA","V","N","DHP1.mm.","260","2012-06-14",NA,100,980,"507,935","-1055,188","331,635","773,288","695661,934846266","4996838,39330125",NA
"17585",6327,"ABBA","V","N","DHP1.mm.","182","2012-06-14",NA,100,980,"508,784","-1057,427","330,742","772,395","695660,52914776","4996836,45756658",NA
"17586",6328,"ABBA","V","N","DHP1.mm.","318","2012-06-14",NA,100,980,"509,238","-1063,642","330,426","772,079","695658,46138839","4996830,58533274",NA
"17587",6329,"ABBA","V","N","DHP1.mm.","234","2012-06-14",NA,100,980,"508,61","-1065,166","330,409","772,062","695658,667063615","4996828,9514694",NA
"17588",6330,"BEPA","M","N","DHP1.mm.","243","2012-06-14",NA,100,980,"508,835","-1066,615","329,992","771,645","695658,070111182","4996827,61363555",NA
"17589",6331,"BEPA","M","N","DHP1.mm.","124","2012-06-14",NA,100,980,"507,972","-1067,255","330,243","771,896","695658,734188047","4996826,77031856",NA
"17590",6332,"ABBA","V","N","DHP1.mm.","278","2012-06-14",NA,100,980,"505,363","-1063,584","331,442","773,095","695662,212132767","4996829,62489187",NA
"17591",6333,"BEPA","M","N","DHP1.mm.","259","2012-06-14",NA,100,980,"505,313","-1064,13","331,442","773,095","695662,117125712","4996829,08542914",NA
"17592",6335,"ABBA","V","N","DHP1.mm.","228","2012-06-14",NA,100,980,"510,397","-1070,232","328,665","770,318","695655,615646446","4996824,53650657",NA
"17593",6336,"BEAL","V","N","DHP1.mm.","166","2012-06-14",NA,100,980,"507,068","-1071,927","328,566","770,219","695658,380257191","4996822,02936674",NA
"17594",6337,"ABBA","V","N","DHP1.mm.","105","2012-06-14",NA,100,980,"506,398","-1072,745","328,206","769,859","695658,811593786","4996821,06507724",NA
"17595",6338,"ABBA","V","N","DHP1.mm.","160","2012-06-14",NA,100,980,"503,587","-1073,615","327,082","768,735","695661,293233179","4996819,48910769",NA
"17596",6339,"BEPA","V","N","DHP1.mm.","263","2012-06-14",NA,100,980,"503,349","-1072,823","327,849","769,502","695661,730396647","4996820,19017844",NA
"17597",6340,"ABBA","V","N","DHP1.mm.","118","2012-06-14",NA,100,980,"502,457","-1071,734","328,003","769,656","695662,87592006","4996821,00602541",NA
"17598",6341,"ABBA","V","N","DHP1.mm.","216","2012-06-14",NA,100,980,"505,455","-1066,467","331,151","772,804","695661,367277115","4996826,86978636",NA
"17599",6342,"BEPA","M","N","DHP1.mm.","235","2012-06-14",NA,100,980,"501,489","-1071,852","327,91","769,563","695663,77813042","4996820,63838081",NA
"17600",6343,"ABBA","V","N","DHP1.mm.","153","2012-06-14",NA,100,980,"501,589","-1071,008","328,246","769,899","695663,903097916","4996821,47823223",NA
"17601",6344,"BEPA","M","N","DHP1.mm.","169","2012-06-14",NA,100,980,"503,511","-1070,256","328,998","770,651","695662,247512234","4996822,70727767",NA
"17602",6345,"ABBA","V","N","DHP1.mm.","115","2012-06-14",NA,100,980,"504,948","-1069,752","329,685","771,338","695660,994423925","4996823,57004099",NA
"17603",6346,"BEAL","M","N","DHP1.mm.","169","2012-06-14",NA,100,980,"504,039","-1068,982","329,882","771,535","695662,072666646","4996824,07391049",NA
"17604",6347,"ABBA","V","N","DHP1.mm.","154","2012-06-14",NA,100,980,"502,605","-1067,839","329,588","771,241","695663,754845891","4996824,79965558",NA
"17605",6348,"PIRU","V","N","DHP1.mm.","104","2012-06-14",NA,100,980,"501,922","-1067,462","329,52","771,173","695664,512144853","4996824,9839462",NA
"17606",6349,"BEPA","M","N","DHP1.mm.","132","2012-06-14",NA,100,980,"501,164","-1067,343","329,455","771,108","695665,274074969","4996824,89985135",NA
"17607",6350,"BEPA","V","N","DHP1.mm.","159","2012-06-14",NA,100,980,"501,584","-1068,504","329,133","770,786","695664,564678937","4996823,89079739",NA
"17608",6351,"ABBA","V","N","DHP1.mm.","117","2012-06-14",NA,100,980,"501,659","-1069,733","328,888","770,541","695664,170030379","4996822,72570264",NA
"17609",6352,"PIRU","V","N","DHP1.mm.","108","2012-06-14",NA,100,980,"499,629","-1067,775","329,362","771,015","695666,640520585","4996824,08079273",NA
"17610",6353,"PIRU","V","N","DHP1.mm.","101","2012-06-14",NA,100,980,"499,49","-1068,037","329,088","770,741","695666,705799127","4996823,791765",NA
"17611",6354,"ABBA","V","N","DHP1.mm.","136","2012-06-14",NA,100,980,"498,676","-1069,489","328,339","769,992","695667,109664383","4996822,17852528",NA
"17612",6355,"ABBA","V","N","DHP1.mm.","108","2012-06-14",NA,100,980,"498,192","-1069,439","328,183","769,836","695667,5893586","4996822,09977988",NA
"17613",6356,"BEPA","V","N","DHP1.mm.","224","2012-06-14",NA,100,980,"497,213","-1069,714","327,969","769,622","695668,460994347","4996821,57790086",NA
"17614",6357,"BEPA","M","N","DHP1.mm.","208","2012-06-14",NA,100,980,"495,884","-1069,444","327,659","769,312","695669,812978154","4996821,48960667",NA
"17615",6358,"BEAL","V","N","DHP1.mm.","227","2012-06-14",NA,100,980,"497,908","-1071,758","327,208","768,861","695667,254898631","4996819,78975595",NA
"17616",6359,"BEPA","V","N","DHP1.mm.","145","2012-06-14",NA,100,980,"494,379","-1070,716","327,29","768,943","695670,930184344","4996819,86864968",NA
"17617",6360,"ABBA","V","N","DHP1.mm.","107","2012-06-14",NA,100,980,"492,362","-1069,457","327,27","768,923","695673,204805412","4996820,55330772",NA
"17618",6361,"ABBA","V","N","DHP1.mm.","134","2012-06-14",NA,100,980,"493,587","-1067,882","327,869","769,522","695672,436993799","4996822,39291947",NA
"17619",6362,"BEPA","M","N","DHP1.mm.","142","2012-06-14",NA,100,980,"492,179","-1066,729","328,145","769,798","695674,096731678","4996823,13512404",NA
"17620",6363,"ABBA","V","N","DHP1.mm.","200","2012-06-14",NA,100,980,"492,797","-1066,095","328,732","770,385","695673,667263119","4996823,90839722",NA
"17621",6364,"BEPA","V","N","DHP1.mm.","243","2012-06-14",NA,100,980,"492,805","-1065,588","328,798","770,451","695673,792529415","4996824,39924767",NA
"17622",6365,"PIRU","V","N","DHP1.mm.","149","2012-06-14",NA,100,980,"492,569","-1065,195","329,045","770,698","695674,123113257","4996824,7162037",NA
"17623",6366,"ABBA","V","N","DHP1.mm.","138","2012-06-14",NA,100,980,"489,863","-1062,228","329,486","771,139","695677,50991832","4996826,8666736",NA
"17624",6367,"ABBA","V","N","DHP1.mm.","220","2012-06-14",NA,100,980,"494,246","-1063,848","329,493","771,146","695672,859769007","4996826,45457428",NA
"17625",6368,"ABBA","V","N","DHP1.mm.","174","2012-06-14",NA,100,980,"495,469","-1063,164","330,033","771,686","695671,860189711","4996827,43473014",NA
"17626",6369,"ABBA","V","N","DHP1.mm.","254","2012-06-14",NA,100,980,"497,087","-1063,11","330,496","772,149","695670,314587782","4996827,91116329",NA
"17627",6370,"ABBA","V","N","DHP1.mm.","125","2012-06-14",NA,100,980,"497,186","-1064,719","330,027","771,68","695669,797134827","4996826,38604025",NA
"17628",6371,"BEPA","M","N","DHP1.mm.","278","2012-06-14",NA,100,980,"496,617","-1065,841","329,562","771,215","695670,051372032","4996825,155183",NA
"17629",6372,"ABBA","V","N","DHP1.mm.","155","2012-06-14",NA,100,980,"498,899","-1065,054","330,25","771,903","695668,057923355","4996826,51239124",NA
"17630",6373,"ABBA","V","N","DHP1.mm.","204","2012-06-14",NA,100,980,"499,756","-1063,266","330,346","771,999","695667,700733417","4996828,46081597",NA
"17631",6374,"SODE","V","N","DHP1.mm.","224","2012-06-14",NA,100,980,"499,03","-1062,026","330,935","772,588","695668,72583646","4996829,46576744",NA
"17632",6375,"BEPA","M","N","DHP1.mm.","194","2012-06-14",NA,100,980,"503,069","-1064,354","330,22","771,873","695664,221608383","4996828,28092435",NA
"17633",6376,"BEPA","V","N","DHP1.mm.","184","2012-06-14",NA,100,980,"500,765","-1064,724","330,267","771,92","695666,345637975","4996827,31993728",NA
"17634",6377,"ABBA","V","N","DHP1.mm.","219","2012-06-14",NA,100,980,"497,786","-1061,248","331,172","772,825","695670,129120214","4996829,88948363",NA
