"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"2918",6592,"ACPE","V","N","DHP1.mm.","140","2012-06-19",NA,40,100,"281,4075","-206,9305","143,2815","584,9345","696102,794213742","4997596,70580052",NA
"2919",6593,"ACSA","V","N","DHP1.mm.","309","2012-06-19",NA,40,100,"277,35325","-204,73775","143,96125","585,61425","696107,277668934","4997597,75626165",NA
"2920",6594,"ACSA","V","N","DHP1.mm.","191","2012-06-19",NA,40,100,"277,4515","-204,2775","144,286","585,939","696107,303671676","4997598,22571591",NA
"2921",6595,"FAGR","V","N","DHP1.mm.","100","2012-06-19",NA,40,100,"274,708","-201,48775","144,79425","586,44725","696110,680137078","4997600,19547968",NA
"2922",6596,"FAGR","M","N","DHP1.mm.","547","2012-06-19",NA,40,100,"274,157","-199,395","144,736","586,389","696111,760201991","4997602,068389",NA
"2923",6597,"FAGR","V","N","DHP1.mm.","105","2012-06-19",NA,40,100,"273,8995","-197,011","145,02575","586,67875","696112,63372092","4997604,29904628",NA
"2924",6598,"BEAL","V","N","DHP1.mm.","171","2012-06-19",NA,40,100,"277,221","-196,319","143,736","585,389","696109,613268646","4997605,83731872",NA
"2925",6599,"BEAL","V","N","DHP1.mm.","324","2012-06-19",NA,40,100,"276,023","-193,691","143,899","585,552","696111,457434784","4997608,05651522",NA
"2926",6600,"FAGR","V","N","DHP1.mm.","393","2012-06-19",NA,40,100,"272,66825","-192,004","145,15525","586,80825","696115,13391572","4997608,80289737",NA
"2927",6601,"FAGR","V","N","DHP1.mm.","131","2012-06-19",NA,40,100,"270,881","-194,3","146,241","587,894","696116,254633661","4997606,12076609",NA
"2928",6602,"ACPE","V","N","DHP1.mm.","127","2012-06-19",NA,40,100,"270,045","-197,14","146,662","588,315","696116,315655883","4997603,1637127",NA
"2929",6603,"FAGR","V","N","DHP1.mm.","221","2012-06-19",NA,40,100,"270,086","-201,063","147,042","588,695","696115,247188525","4997599,39266212",NA
"2930",6604,"ACPE","V","N","DHP1.mm.","108","2012-06-19",NA,40,100,"270,89075","-204,269","146,88375","588,53675","696113,630518043","4997596,5131254",NA
"2931",6605,"BEAL","V","N","DHP1.mm.","170","2012-06-19",NA,40,100,"267,692","-208,112","148,442","590,095","696115,706179103","4997591,9694585",NA
"2932",6606,"ACPE","V","N","DHP1.mm.","113","2012-06-19",NA,40,100,"266,219","-206,368","149,226","590,879","696117,583587795","4997593,26434342",NA
"2933",6607,"ACPE","V","N","DHP1.mm.","119","2012-06-19",NA,40,100,"266,841","-201,136","149,179","590,832","696118,356248422","4997598,47117555",NA
"2934",6608,"FAGR","V","N","DHP1.mm.","119","2012-06-19",NA,40,100,"267,02","-200,81","149,023","590,676","696118,269195774","4997598,8323912",NA
"2935",6609,"FAGR","V","N","DHP1.mm.","331","2012-06-19",NA,40,100,"267,357","-194,068","147,946","589,599","696119,712648696","4997605,42012459",NA
"2936",6610,"FAGR","V","N","DHP1.mm.","126","2012-06-19",NA,40,100,"265,50175","-192,4895","148,29225","589,94525","696121,915141408","4997606,45520781",NA
"2937",6611,"BEAL","V","N","DHP1.mm.","389","2012-06-19",NA,40,100,"264,72","-195,26","149,151","590,804","696121,942094973","4997603,57938194",NA
"2938",6612,"FAGR","V","N","DHP1.mm.","187","2012-06-19",NA,40,100,"261,58825","-197,727","150,227","591,88","696124,31407128","4997600,37976343",NA
"2939",6613,"FAGR","V","N","DHP1.mm.","146","2012-06-19",NA,40,100,"264,456","-204,271","150,225","591,878","696119,833145384","4997594,82346067",NA
"2940",6614,"ACPE","V","N","DHP1.mm.","108","2012-06-19",NA,40,100,"263,00225","-204,93","151,29525","592,94825","696121,061726696","4997593,80688282",NA
