"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"11387",10530,"ABBA","V","N","DHP1.mm.","208","2012-07-19",NA,0,580,"322,256","-685,948","258,462","700,115","695937,776945119","4997145,64292979",NA
"11388",10531,"ACPE","V","N","DHP1.mm.","123","2012-07-19",NA,0,580,"318,382","-687,32","258,791","700,444","695941,151658316","4997143,30421944",NA
"11389",10532,"BEAL","V","N","DHP1.mm.","212","2012-07-19",NA,0,580,"316,499","-688,968","259,422","701,075","695942,534640553","4997141,22165173",NA
"11390",10533,"BEPA","V","N","DHP1.mm.","366","2012-07-19",NA,0,580,"320,547","-692,835","259,491","701,144","695937,618080192","4997138,55556055",NA
"11391",10534,"BEAL","V","N","DHP1.mm.","225","2012-07-19",NA,0,580,"319,232","-693,912","260,027","701,68","695938,603270344","4997137,17241926",NA
"11392",10535,"BEPA","V","N","DHP1.mm.","201","2012-07-19",NA,0,580,"322,553","-694,832","259,441","701,094","695935,160497079","4997137,15657931",NA
"11393",10536,"BEAL","V","N","DHP1.mm.","375","2012-07-19",NA,0,580,"323,642","-696,713","259,64","701,293","695933,617334535","4997135,62890792",NA
"11394",10537,"BEAL","V","N","DHP1.mm.","254","2012-07-19",NA,0,580,"321,691","-697,093","259,935","701,588","695935,398446378","4997134,75086727",NA
"11395",10538,"BEPA","V","N","DHP1.mm.","155","2012-07-19",NA,0,580,"317,972","-699,808","261,165","702,818","695938,271489898","4997131,15814801",NA
"11396",10539,"BEPA","V","N","DHP1.mm.","246","2012-07-19",NA,0,580,"316,279","-699,331","261,339","702,992","695940,028665638","4997131,17393188",NA
"11397",10540,"BEPA","V","N","DHP1.mm.","323","2012-07-19",NA,0,580,"315,359","-699,021","261,28","702,933","695940,996861471","4997131,23147247",NA
"11398",10541,"BEPA","M","N","DHP1.mm.","212","2012-07-19",NA,0,580,"315,349","-701,606","262,045","703,698","695940,32849551","4997128,73688837",NA
"11399",10542,"ABBA","V","N","DHP1.mm.","260","2012-07-19",NA,0,580,"314,344","-697,915","261,357","703,01","695942,265416736","4997132,03144656",NA
"11400",10543,"BEPA","V","N","DHP1.mm.","316","2012-07-19",NA,0,580,"312,484","-698,077","261,381","703,034","695944,015981903","4997131,38742761",NA
"11401",10544,"ABBA","V","N","DHP1.mm.","198","2012-07-19",NA,0,580,"314,061","-696,758","261,5","703,153","695942,841694503","4997133,07257749",NA
"11402",10545,"ABBA","V","N","DHP1.mm.","163","2012-07-19",NA,0,580,"313,87","-694,403","261,029","702,682","695943,643500628","4997135,29272047",NA
"11403",10546,"BEPA","V","N","DHP1.mm.","189","2012-07-19",NA,0,580,"313,912","-694,099","260,995","702,648","695943,682746842","4997135,59679493",NA
"11404",10547,"BEPA","M","N","DHP1.mm.","219","2012-07-19",NA,0,580,"313,267","-693,58","260,967","702,62","695944,440657924","4997135,92794154",NA
"11405",10548,"BEPA","V","N","DHP1.mm.","174","2012-07-19",NA,0,580,"315,648","-694,249","260,847","702,5","695941,969885857","4997135,90752",NA
"11406",10549,"BEPA","V","N","DHP1.mm.","405","2012-07-19",NA,0,580,"316,214","-694,277","260,819","702,472","695941,416913231","4997136,02898093",NA
"11407",10550,"PIRU","V","N","DHP1.mm.","113","2012-07-19",NA,0,580,"315,224","-691,577","260,105","701,758","695943,07945016","4997138,37214124",NA
"11408",10551,"BEPA","M","N","DHP1.mm.","182","2012-07-19",NA,0,580,"313,626","-688,312","260,201","701,854","695945,476294964","4997141,10049708",NA
"11409",10552,"ABBA","V","N","DHP1.mm.","116","2012-07-19",NA,0,580,"311,112","-687,558","260,1","701,753","695948,097574327","4997141,16797545",NA
"11410",10553,"BEPA","V","N","DHP1.mm.","238","2012-07-19",NA,0,580,"311,483","-689,666","261,59","703,243","695947,187031052","4997139,23315375",NA
"11411",10554,"BEPA","V","N","DHP1.mm.","137","2012-07-19",NA,0,580,"310,868","-689,484","261,244","702,897","695947,827631931","4997139,24729814",NA
"11412",10555,"BEPA","M","N","DHP1.mm.","178","2012-07-19",NA,0,580,"311,294","-689,542","261,709","703,362","695947,401751913","4997139,30311896",NA
