"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"8359",4327,"ACSA","V","N","DHP1.mm.","295","2011-08-02","VJ",80,360,"337,959","-459,148","196,51","638,163","695982,125302225","4997368,3986519",NA
"8360",4328,"ACSA","V","N","DHP1.mm.","240","2011-08-02","VJ",80,360,"341,255","-456,192","195,769","637,422","695979,723244805","4997372,1127507",NA
"8361",4329,"ACSA","V","N","DHP1.mm.","138","2011-08-02","VJ",80,360,"340,428","-461,918","197,236","638,889","695979,018637204","4997366,37593014",NA
"8362",4330,"ACSA","V","N","DHP1.mm.","161","2011-08-02","VJ",80,360,"337,434","-460,372","196,577","638,23","695982,310370025","4997367,08100635",NA
"8363",4331,"BEPA","V","N","DHP1.mm.","101","2011-08-02","VJ",80,360,"345,728","-463,725","198,51","640,163","695973,435445105","4997366,02407638",NA
"8364",4332,"ACSA","V","N","DHP1.mm.","201","2011-08-02","VJ",80,360,"343,43","-465,636","199,458","641,111","695975,149509869","4997363,57912634",NA
"8365",4333,"ACSA","V","N","DHP1.mm.","161","2011-08-02","VJ",80,360,"343,69","-466,327","199,664","641,317","695974,717628979","4997362,98119069",NA
"8366",4334,"ACSA","V","N","DHP1.mm.","133","2011-08-02","VJ",80,360,"342,19","-465,191","199,594","641,247","695976,461596773","4997363,68287693",NA
"8367",4335,"ACSA","V","N","DHP1.mm.","157","2011-08-02","VJ",80,360,"342,093","-464,999","199,747","641,4","695976,60546424","4997363,84252489",NA
"8368",4336,"ACSA","V","N","DHP1.mm.","146","2011-08-02","VJ",80,360,"341,91","-464,775","199,778","641,431","695976,840629526","4997364,01046462",NA
"8369",4337,"ACSA","V","N","DHP1.mm.","185","2011-08-02","VJ",80,360,"345,546","-467,28","199,831","641,484","695972,678472364","4997362,54929133",NA
"8370",4338,"BEAL","V","N","DHP1.mm.","281","2011-08-02","VJ",80,360,"342,349","-470,816","201,429","643,082","695974,832967823","4997358,30203395",NA
"8371",4339,"ACSA","V","N","DHP1.mm.","165","2011-08-02","VJ",80,360,"342,38","-471,99","201,74","643,393","695974,495161288","4997357,17841912",NA
"8372",4340,"ACSA","V","N","DHP1.mm.","137","2011-08-02","VJ",80,360,"346,818","-472,364","202,255","643,908","695970,118798304","4997357,98189971",NA
"8373",4341,"ACSA","V","N","DHP1.mm.","156","2011-08-02","VJ",80,360,"346,859","-472,631","202,452","644,105","695970,009243942","4997357,73526319",NA
"8374",4342,"FAGR","V","N","DHP1.mm.","233","2011-08-02","VJ",80,360,"347,54825","-473,59025","203,0895","644,7425","695969,093204642","4997356,99131805",NA
"8375",4343,"FAGR","V","N","DHP1.mm.","104","2011-08-02","VJ",80,360,"347,674","-474,255","203,33725","644,99025","695968,797626829","4997356,38347589",NA
"8376",4344,"ACSA","V","N","DHP1.mm.","211","2011-08-02","VJ",80,360,"347,07575","-474,64875","203,5235","645,1765","695969,271070133","4997355,84698581",NA
"8377",4345,"ACSA","V","N","DHP1.mm.","107","2011-08-02","VJ",80,360,"347,56525","-475,25025","203,52525","645,17825","695968,641423839","4997355,39552325",NA
"8378",4346,"BEAL","V","N","DHP1.mm.","296","2011-08-02","VJ",80,360,"338,655","-475,74","202,853","644,506","695977,102524155","4997352,58637765",NA
"8379",4347,"ACPE","M","N","DHP1.mm.","127","2011-08-02","VJ",80,360,"351,998","-473,397","203,205","644,858","695964,854295578","4997358,34471415",NA
"8380",4348,"ACPE","V","N","DHP1.mm.","128","2011-08-02","VJ",80,360,"356,273","-473,087","203,058","644,711","695960,814468695","4997359,76482395",NA
"8381",4349,"ACPE","M","N","DHP1.mm.","125","2011-08-02","VJ",80,360,"356,402","-472,74425","203,0325","644,6855","695960,780009728","4997360,1290725",NA
"8382",4350,"BEAL","V","N","DHP1.mm.","109","2011-08-02","VJ",80,360,"351,698","-473,122","202,633","644,286","695965,215626348","4997358,53113099",NA
"8383",4351,"ACSA","V","N","DHP1.mm.","174","2011-08-02","VJ",80,360,"350,318","-469,834","201,689","643,342","695967,408349908","4997361,33883709",NA
"8384",4352,"ACPE","V","N","DHP1.mm.","102","2011-08-02","VJ",80,360,"351,302","-469,892","201,412","643,065","695966,444553302","4997361,54101279",NA
"8385",4353,"BEAL","V","N","DHP1.mm.","142","2011-08-02","VJ",80,360,"355,814","-468,993","201,21","642,863","695962,33074218","4997363,59108492",NA
"8386",4354,"BEPA","V","N","DHP1.mm.","172","2011-08-02","VJ",80,360,"355,771","-466,602","200,352","642,005","695962,999317338","4997365,88475033","PENCH�"
"8387",4355,"ACSA","V","N","DHP1.mm.","248","2011-08-02","VJ",80,360,"348,37825","-467,05375","199,8745","641,5275","695970,007501997","4997363,51025413",NA
"8388",4356,"BEAL","V","N","DHP1.mm.","309","2011-08-02","VJ",80,360,"350,977","-464,482","199,203","640,856","695968,176816399","4997366,67105474",NA
"8389",4357,"BEAL","V","N","DHP1.mm.","224","2011-08-02","VJ",80,360,"350,204","-461,656","198,254","639,907","695969,66321142","4997369,19259587",NA
"8390",4358,"ACSA","V","N","DHP1.mm.","169","2011-08-02","VJ",80,360,"346,703","-459,41","197,103","638,756","695973,627295726","4997370,43949948",NA
"8391",4359,"ACSA","V","N","DHP1.mm.","187","2011-08-02","VJ",80,360,"346,393","-459,261","196,958","638,611","695973,9652187","4997370,50182844",NA
"8392",4360,"ACSA","V","N","DHP1.mm.","135","2011-08-02","VJ",80,360,"352,231","-458,711","197,556","639,209","695968,481595302","4997372,56325125",NA
"8393",4361,"ACSA","V","N","DHP1.mm.","155","2011-08-02","VJ",80,360,"352,64","-458,822","197,775","639,428","695968,058202333","4997372,56352079",NA
"8394",4362,"ACSA","V","N","DHP1.mm.","126","2011-08-02","VJ",80,360,"349,936","-457,353","197,325","638,978","695971,050176845","4997373,27043095",NA
"8395",4363,"ACSA","V","N","DHP1.mm.","377","2011-08-02","VJ",80,360,"350,009","-457,08","197,348","639,001","695971,051407978","4997373,55275198","PENCH�"
"8396",4364,"ACSA","V","N","DHP1.mm.","108","2011-08-02","VJ",80,360,"352,416","-454,666","196,821","638,474","695969,36419554","4997376,51118719",NA
"8397",4365,"FAGR","V","N","DHP1.mm.","103","2011-08-02","VJ",80,360,"347,068","-454,186","195,947","637,6","695974,645608188","4997375,57121236",NA
