"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"10173",15740,"ACSA","V","N","DHP1.mm.","256","2012-08-23",NA,180,480,"458,641","-558,782","220,46","662,113","695839,654384471","4997304,00370321",NA
"10174",15741,"ACSA","V","N","DHP1.mm.","237","2012-08-23",NA,180,480,"458,563","-559,694","220,489","662,142","695839,490373433","4997303,1040695",NA
"10175",15742,"BEAL","V","N","DHP1.mm.","458","2012-08-23",NA,180,480,"469,778","-555,351","219,622","661,275","695829,818123827","4997310,23228053",NA
"10176",15743,"BEAL","V","N","DHP1.mm.","223","2012-08-23",NA,180,480,"470,232","-555,288","219,572","661,225","695829,396988032","4997310,41209032",NA
"10177",15744,"BEAL","V","N","DHP1.mm.","249","2012-08-23",NA,180,480,"471,065","-556,854","219,872","661,525","695828,183231285","4997309,12093663",NA
"10178",15745,"ACSA","V","N","DHP1.mm.","111","2012-08-23",NA,180,480,"471,401","-558,296","219,629","661,282","695827,481109933","4997307,81896444",NA
"10179",15746,"ABBA","V","N","DHP1.mm.","166","2012-08-23",NA,180,480,"475,764","-557,327","219,009","660,662","695823,529295967","4997309,89743672",NA
"10180",15747,"BEAL","M","N","DHP1.mm.","390","2012-08-23",NA,180,480,"473,062","-560,759","219,651","661,304","695825,233884969","4997305,88026714",NA
"10181",15748,"BEAL","M","N","DHP1.mm.","195","2012-08-23",NA,180,480,"477,643","-557,42","218,98","660,633","695821,693532036","4997310,30061697",NA
"10182",15749,"ACPE","V","N","DHP1.mm.","165","2012-08-23",NA,180,480,"478,399","-560,877","219,229","660,882","695820,058023486","4997307,16632781",NA
"10183",15750,"ACSA","V","N","DHP1.mm.","357","2012-08-23",NA,180,480,"479,365","-565,197","220,048","661,701","695817,993721482","4997303,25517934",NA
"10184",15751,"ACSA","V","N","DHP1.mm.","230","2012-08-23",NA,180,480,"473,245","-563,755","219,877","661,53","695824,271666394","4997303,04009661",NA
"10185",15752,"BEPA","V","N","DHP1.mm.","396","2012-08-23",NA,180,480,"471,172","-565,557","220,315","661,968","695825,797418344","4997300,75923753",NA
"10186",15753,"ACSA","M","N","DHP1.mm.","106","2012-08-23",NA,180,480,"473,724","-566,021","220,09","661,743","695823,215569242","4997300,98128837",NA
"10187",15754,"BEAL","V","N","DHP1.mm.","110","2012-08-23",NA,180,480,"469,731","-562,186","220,082","661,735","695828,07071604","4997303,63095695",NA
"10188",15755,"BEAL","V","N","DHP1.mm.","166","2012-08-23",NA,180,480,"469,397","-562,51","219,974","661,627","695828,307714531","4997303,23101518",NA
"10189",15756,"ACPE","M","N","DHP1.mm.","130","2012-08-23",NA,180,480,"467,518","-566,465","220,445","662,098","695829,081749849","4997298,92552964",NA
"10190",15757,"ACRU","V","N","DHP1.mm.","103","2012-08-23",NA,180,480,"466,511","-566,929","220,5","662,153","695829,930806012","4997298,2141091",NA
"10191",15758,"BEAL","M","N","DHP1.mm.","340","2012-08-23",NA,180,480,"465,675","-565,521","220,392","662,045","695831,106013795","4997299,35216263",NA
"10192",15759,"ACSA","V","N","DHP1.mm.","122","2012-08-23",NA,180,480,"461,636","-563,751","220,686","662,339","695835,463886989","4997299,99908914",NA
"10193",15760,"BEAL","V","N","DHP1.mm.","246","2012-08-23",NA,180,480,"460,886","-566,74","220,526","662,179","695835,402924079","4997296,92095501",NA
"10194",15761,"ABBA","V","N","DHP1.mm.","141","2012-08-23",NA,180,480,"461,347","-568,849","220,744","662,397","695834,405357779","4997295,00877493",NA
"10195",15762,"BEAL","V","N","DHP1.mm.","487","2012-08-23",NA,180,480,"466,251","-571,343","220,778","662,431","695829,023723323","4997293,89078277",NA
