"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"15576",11312,"ABBA","V","N","DHP1.mm.","153","2012-07-25",NA,0,900,"375,749","-1008,564","340,186","781,839","695801,592000734","4996848,66885045",NA
"15577",11313,"ABBA","V","N","DHP1.mm.","142","2012-07-25",NA,0,900,"378,069","-1007,582","340,263","781,916","695799,613065268","4996850,22400711",NA
"15578",11314,"BEAL","V","N","DHP1.mm.","427","2012-07-25",NA,0,900,"379,134","-1013,621","338,697","780,35","695797,002458988","4996844,6816947",NA
"15579",11315,"ABBA","V","N","DHP1.mm.","218","2012-07-25",NA,0,900,"380,04","-1013,774","338,689","780,342","695796,088937973","4996844,77183141",NA
"15580",11316,"BEAL","V","N","DHP1.mm.","267","2012-07-25",NA,0,900,"380,74","-1014,499","338,634","780,287","695795,223975784","4996844,25652476",NA
"15581",11317,"BEPA","V","N","DHP1.mm.","214","2012-07-25",NA,0,900,"378,412","-1017,911","338,074","779,727","695796,573271405","4996840,35672984",NA
"15582",11318,"BEAL","V","N","DHP1.mm.","337","2012-07-25",NA,0,900,"383,017","-1016,1","337,819","779,472","695792,609011198","4996843,31036995",NA
"15583",11319,"ABBA","V","N","DHP1.mm.","102","2012-07-25",NA,0,900,"383,668","-1017,656","337,698","779,351","695791,573326795","4996841,98112051",NA
"15584",11320,"ABBA","V","N","DHP1.mm.","296","2012-07-25",NA,0,900,"384,485","-1018,554","337,451","779,104","695790,550200384","4996841,32972776",NA
"15585",11321,"ABBA","V","N","DHP1.mm.","248","2012-07-25",NA,0,900,"394,846","-1014,14","338,239","779,892","695781,719836016","4996848,30239221",NA
"15586",11322,"BEAL","M","N","DHP1.mm.","283","2012-07-25",NA,0,900,"395,484","-1013,653","338,505","780,158","695781,232531436","4996848,93920188",NA
"15587",11323,"ABBA","V","N","DHP1.mm.","225","2012-07-25",NA,0,900,"394,747","-1012,017","338,449","780,102","695782,372103325","4996850,32301548",NA
"15588",11324,"ABBA","V","N","DHP1.mm.","153","2012-07-25",NA,0,900,"396,902","-1012,959","338,199","779,852","695780,047593384","4996849,98014334",NA
