"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"8748",15374,"BEPA","V","N","DHP1.mm.","180","2012-08-23",NA,180,380,"440,717","-456,602","200,438","642,091","695883,733522224","4997397,80487178",NA
"8749",15375,"FAGR","V","N","DHP1.mm.","259","2012-08-23",NA,180,380,"447,486","-456,355","201,183","642,836","695877,272934895","4997399,81838719",NA
"8750",15376,"ACSA","V","N","DHP1.mm.","841","2012-08-23",NA,180,380,"448,293","-457,668","201,721","643,374","695876,1506004","4997398,76430818",NA
"8751",15377,"ACSA","V","N","DHP1.mm.","231","2012-08-23",NA,180,380,"448,608","-457,618","201,935","643,588","695875,860052047","4997398,89512828",NA
"8752",15378,"BEAL","V","N","DHP1.mm.","104","2012-08-23",NA,180,380,"452,53","-458,121","201,991","643,644","695871,947282575","4997399,43891288",NA
"8753",15379,"ACPE","V","N","DHP1.mm.","114","2012-08-23",NA,180,380,"455,341","-458,425","202,494","644,147","695869,157720902","4997399,88313678",NA
"8754",15380,"FAGR","V","N","DHP1.mm.","219","2012-08-23",NA,180,380,"456,314","-461,074","203,283","644,936","695867,524948634","4997397,58468204",NA
"8755",15381,"BEAL","V","O","DHP1.mm.","522","2012-08-23",NA,180,380,"454,544","-461,849","203,782","645,435","695869,027972517","4997396,37333169","merge trees"
"8756",15382,"BEAL","M","N","DHP1.mm.","334","2012-08-23",NA,180,380,"452,884","-470,773","206,097","647,75","695868,287597179","4997387,33512965",NA
"8757",15383,"PIRU","V","N","DHP1.mm.","444","2012-08-23",NA,180,380,"451,628","-470,531","206,034","647,687","695869,561864413","4997387,23899001",NA
"8758",15384,"ACPE","V","N","DHP1.mm.","116","2012-08-23",NA,180,380,"449,391","-468,329","204,968","646,621","695872,295901796","4997388,77500516",NA
"8759",15385,"ACSA","V","N","DHP1.mm.","274","2012-08-23",NA,180,380,"448,989","-465,219","204,426","646,079","695873,499138632","4997391,66763227",NA
"8760",15386,"ACSA","V","N","DHP1.mm.","134","2012-08-23",NA,180,380,"446,233","-463,682","203,813","645,466","695876,559076934","4997392,42645617",NA
"8761",15387,"ACSA","V","N","DHP1.mm.","195","2012-08-23",NA,180,380,"446,071","-463,917","204,133","645,786","695876,653609353","4997392,15742411",NA
"8762",15388,"ACPE","V","N","DHP1.mm.","110","2012-08-23",NA,180,380,"444,059","-466,069","204,763","646,416","695878,028757144","4997389,55516153",NA
"8763",15389,"ACPE","V","N","DHP1.mm.","114","2012-08-23",NA,180,380,"444,036","-471,41","206,272","647,925","695876,650066556","4997384,40036106",NA
"8764",15390,"ACPE","V","N","DHP1.mm.","104","2012-08-23",NA,180,380,"444,128","-471,273","206,171","647,824","695876,597310808","4997384,55656038",NA
"8765",15391,"ACPE","V","N","DHP1.mm.","108","2012-08-23",NA,180,380,"441,618","-474,303","207,994","649,647","695878,222248695","4997380,97728078",NA
"8766",15392,"ACPE","V","N","DHP1.mm.","120","2012-08-23",NA,180,380,"441,406","-474,599","208,12","649,773","695878,348982157","4997380,63632998",NA
"8767",15393,"ACPE","V","N","DHP1.mm.","104","2012-08-23",NA,180,380,"441,48","-474,588","208,078","649,731","695878,28053068","4997380,66634314",NA
"8768",15394,"BEAL","V","N","DHP1.mm.","420","2012-08-23",NA,180,380,"441,605","-463,16","203,173","644,826","695881,15741962","4997391,7158147",NA
