"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"7754",7125,"BEAL","V","N","DHP1.mm.","406","2012-06-21",NA,40,320,"308,61925","-441,20275","193,933","635,586","696015,115827642","4997378,00265186",NA
"7755",7126,"BEAL","V","N","DHP1.mm.","370","2012-06-21",NA,40,320,"308,3395","-440,1635","193,9895","635,6425","696015,658088355","4997378,93112325",NA
"7756",7127,"ACSA","V","N","DHP1.mm.","342","2012-06-21",NA,40,320,"305,612","-441,551","194,064","635,717","696017,92350071","4997376,87818022",NA
"7757",7128,"FAGR","V","N","DHP1.mm.","199","2012-06-21",NA,40,320,"307,571","-437,165","193,914","635,567","696017,185389456","4997381,62013609",NA
"7758",7129,"ACSA","V","N","DHP1.mm.","270","2012-06-21",NA,40,320,"301,57875","-439,10375","193,7205","635,3735","696022,453463195","4997378,17948943",NA
"7759",7130,"ACSA","V","N","DHP1.mm.","251","2012-06-21",NA,40,320,"303,6795","-433,6275","192,8095","634,4625","696021,864659709","4997384,00963412",NA
"7760",7131,"ACSA","V","N","DHP1.mm.","268","2012-06-21",NA,40,320,"298,081","-435,739","193,163","634,816","696026,707845523","4997380,50572966",NA
"7761",7132,"ACSA","V","N","DHP1.mm.","198","2012-06-21",NA,40,320,"298,89175","-431,4365","192,79025","634,44325","696027,054755935","4997384,86602239",NA
"7762",7133,"FAGR","V","N","DHP1.mm.","162","2012-06-21",NA,40,320,"301,50275","-430,71125","192,6015","634,2545","696024,727952471","4997386,2499948",NA
"7763",7134,"ACSA","V","N","DHP1.mm.","430","2012-06-21",NA,40,320,"302,446","-427,712","192,256","633,909","696024,60530921","4997389,38869654",NA
"7764",7135,"ACSA","V","N","DHP1.mm.","252","2012-06-21",NA,40,320,"298,64025","-427,3635","192,47","634,123","696028,365489734","4997388,72646327",NA
"7765",7136,"ACSA","V","N","DHP1.mm.","226","2012-06-21",NA,40,320,"299,383","-424,931","192,012","633,665","696028,287480248","4997391,26622526",NA
"7766",7137,"ACSA","V","N","DHP1.mm.","390","2012-06-21",NA,40,320,"295,714","-424,68","192,168","633,821","696031,890259886","4997390,54586862",NA
"7767",7138,"ACSA","V","N","DHP1.mm.","348","2012-06-21",NA,40,320,"289,667","-426,337","192,324","633,977","696037,2850118","4997387,3624712",NA
"7768",7139,"ACSA","V","N","DHP1.mm.","242","2012-06-21",NA,40,320,"288,854","-426,326","192,248","633,901","696038,071635617","4997387,1598378",NA
"7769",7140,"ACSA","V","N","DHP1.mm.","160","2012-06-21",NA,40,320,"289,121","-430,692","192,87","634,523","696036,669110262","4997383,02100792",NA
"7770",7141,"ACSA","V","N","DHP1.mm.","144","2012-06-21",NA,40,320,"289,467","-430,868","192,906","634,559","696036,289401304","4997382,942093",NA
"7771",7142,"ACSA","V","N","DHP1.mm.","202","2012-06-21",NA,40,320,"294,338","-430,52","192,686","634,339","696031,684992339","4997384,55515681",NA
"7772",7143,"ACSA","V","N","DHP1.mm.","108","2012-06-21",NA,40,320,"294,486","-431,416","192,892","634,545","696031,307311999","4997383,73022358",NA
"7773",7144,"ACSA","V","N","DHP1.mm.","598","2012-06-21",NA,40,320,"294,21","-432,395","193,038","634,691","696031,316601511","4997382,71406894",NA
"7774",7145,"ACSA","V","N","DHP1.mm.","135","2012-06-21",NA,40,320,"293,739","-433,265","193,31","634,963","696031,542461663","4997381,75184568",NA
"7775",7146,"ACSA","V","N","DHP1.mm.","121","2012-06-21",NA,40,320,"293,069","-436,634","193,45","635,103","696031,304709895","4997378,3283712",NA
"7776",7147,"ACSA","V","N","DHP1.mm.","209","2012-06-21",NA,40,320,"293,2855","-440,06075","193,57925","635,23225","696030,197217895","4997375,08174067",NA
"7777",7148,"ACSA","V","N","DHP1.mm.","407","2012-06-21",NA,40,320,"289,432","-436,543","193,648","635,301","696034,834675712","4997377,46216637",NA
"7778",7149,"ACSA","V","N","DHP1.mm.","100","2012-06-21",NA,40,320,"289,319","-437,176","193,964","635,617","696034,777582403","4997376,82231099",NA
"7779",7150,"ACSA","V","N","DHP1.mm.","185","2012-06-21",NA,40,320,"288,494","-436,445","193,516","635,169","696035,764619329","4997377,31061609",NA
"7780",7151,"ACSA","V","N","DHP1.mm.","128","2012-06-21",NA,40,320,"295,612","-438,393","193,198","634,851","696028,391878134","4997377,29967082",NA
