"","Arbre","Esp","Etat","Multi","id_tige","DHP_mm_","Date","Initiales","BorX","BorY","Nord_m","Est_m","elevation_m","Altitude_m","X_UTM","Y_UTM","Remarques"
"7513",7078,"ACSA","V","N","DHP1.mm.","157","2012-06-21",NA,60,300,"305,76425","-407,57925","188,37025","630,02325","696026,687001953","4997409,66715941",NA
"7514",7079,"ACPE","V","N","DHP1.mm.","100","2012-06-21",NA,60,300,"307,34075","-407,29675","188,37225","630,02525","696025,241338428","4997410,35298362",NA
"7515",7080,"ACSA","V","N","DHP1.mm.","135","2012-06-21",NA,60,300,"304,357","-410,323","188,765","630,418","696027,323958779","4997406,65306165",NA
"7516",7081,"BEAL","V","N","DHP1.mm.","260","2012-06-21",NA,60,300,"303,391","-409,987","188,989","630,642","696028,343318393","4997406,72360136",NA
"7517",7082,"FAGR","V","N","DHP1.mm.","276","2012-06-21",NA,60,300,"303,343","-412,586","189,275","630,928","696027,707912758","4997404,20555432",NA
"7518",7083,"BEAL","M","N","DHP1.mm.","425","2012-06-21",NA,60,300,"307,898","-411,607","188,992","630,645","696023,573632061","4997406,34402535",NA
"7519",7084,"ACPE","V","N","DHP1.mm.","105","2012-06-21",NA,60,300,"308,4475","-413,82","189,31175","630,96475","696022,463473421","4997404,35480062",NA
"7520",7085,"ACSA","M","N","DHP1.mm.","163","2012-06-21",NA,60,300,"308","-415,98","189,893","631,546","696022,32833207","4997402,15517043",NA
"7521",7086,"ACSA","V","N","DHP1.mm.","115","2012-06-21",NA,60,300,"308,668","-416,676","189,92","631,573","696021,501824401","4997401,65942692",NA
"7522",7087,"ACSA","V","N","DHP1.mm.","324","2012-06-21",NA,60,300,"311,348","-416,132","189,733","631,386","696019,060965261","4997402,88677048",NA
"7523",7088,"ACSA","V","N","DHP1.mm.","186","2012-06-21",NA,60,300,"312,893","-414,23","188,906","630,559","696018,070438125","4997405,12554404",NA
"7524",7089,"ACSA","V","N","DHP1.mm.","186","2012-06-21",NA,60,300,"312,904","-416,564","189,775","631,428","696017,44766146","4997402,87843398",NA
"7525",7090,"ACSA","V","N","DHP1.mm.","200","2012-06-21",NA,60,300,"311,19425","-419,72025","190,3905","632,0435","696018,268038319","4997399,3873417",NA
"7526",7091,"FAGR","V","N","DHP1.mm.","300","2012-06-21",NA,60,300,"310,182","-421,166","190,534","632,187","696018,864657485","4997397,72812909",NA
"7527",7092,"ACSA","V","N","DHP1.mm.","278","2012-06-21",NA,60,300,"312,49325","-410,71","188,7145","630,3675","696019,379042685","4997408,41400466",NA
"7528",7093,"ACSA","V","N","DHP1.mm.","294","2012-06-21",NA,60,300,"314,038","-409,933","188,362","630,015","696018,093686223","4997409,56820339",NA
"7529",7094,"FAGR","V","N","DHP1.mm.","254","2012-06-21",NA,60,300,"317,281","-410,006","187,478","629,131","696014,948260771","4997410,34842019",NA
"7530",7095,"FAGR","V","N","DHP1.mm.","228","2012-06-21",NA,60,300,"317,42825","-411,2775","187,6795","629,3325","696014,472815518","4997409,16130517",NA
"7531",7096,"ABBA","V","N","DHP1.mm.","130","2012-06-21",NA,60,300,"314,057","-405,87","187,557","629,21","696019,141032951","4997413,48995221",NA
"7532",7097,"FAGR","V","N","DHP1.mm.","159","2012-06-21",NA,60,300,"311,87525","-404,85675","187,69175","629,34475","696021,5100179","4997413,89449382",NA
"7533",7098,"BEAL","M","N","DHP1.mm.","133","2012-06-21",NA,60,300,"321,275","-401,978","186,016","627,669","696013,203633794","4997419,13504344",NA
"7534",7099,"ACSA","V","N","DHP1.mm.","142","2012-06-21",NA,60,300,"318,98","-404,638","186,616","628,269","696014,718355266","4997415,9688381",NA
"7535",7100,"FAGR","V","N","DHP1.mm.","155","2012-06-21",NA,60,300,"319,539","-407,231","186,801","628,454","696013,499370348","4997413,61578195",NA
"7536",7101,"ACSA","V","N","DHP1.mm.","126","2012-06-21",NA,60,300,"322,379","-411,356","185,987","627,64","696009,679662458","4997410,38413668",NA
"7537",7102,"ACSA","V","N","DHP1.mm.","337","2012-06-21",NA,60,300,"323,372","-414,106","186,376","628,029","696008,001119268","4997407,99356281",NA
