"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Hydrobates leucorhous","[1979,1984,1985,2001]","number of individuals","[533670,351119,301995,345288]","MULTIPOINT((-52.77293 47.262571))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1973,1979,1984,2001]","number of individuals","[1970,6524,11922,1025]","MULTIPOINT((-53.766667 49.583333))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1974,1975,1977,1981,2001]","number of indivaduals","[11150,16117,19704,26193,13632]","MULTIPOINT((-55.616667 46.866667))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1978,2001]","number of individuals","[72748,64701]","MULTIPOINT((-56.088564 46.878456))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1979,1997]","number of individuals","[255430,266351]","MULTIPOINT((-52.813605 47.187621))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1979,1984,1985,2001]","number of individuals","[533670,351119,301995,345288]","MULTIPOINT((-52.77293 47.262571))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1973,1979,1984,2001]","number of individuals","[1970,6524,11922,1025]","MULTIPOINT((-53.766667 49.583333))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1974,1975,1977,1981,2001]","number of indivaduals","[11150,16117,19704,26193,13632]","MULTIPOINT((-55.616667 46.866667))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1978,2001]","number of individuals","[72748,64701]","MULTIPOINT((-56.088564 46.878456))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hydrobates leucorhous","[1979,1997]","number of individuals","[255430,266351]","MULTIPOINT((-52.813605 47.187621))","Living planet index database",NA,"Robertson, G. J., J. Russell, et al. (2006). ""Size and trends of Leach’s Storm-petrel Oceanodroma leucorhoa breeding population in Newfoundland."" Atlantic Seabirds 8(1/2): 41-50","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
