"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Amblyraja radiata","[1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[9072,13752,19327,24489,17460,18662,11186,22202,21062,21954,9038,10067,7068,6927,3135]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Glyptocephalus cynoglossus","[2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[6138,9704,9703,9221,6955,4063,4954,5315,7386,3506]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Amblyraja radiata","[1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[9072,13752,19327,24489,17460,18662,11186,22202,21062,21954,9038,10067,7068,6927,3135]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Urophycis tenuis","[2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[6976,2227,595,716,1292,568,105,31,347,273,784]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Macrourus berglax","[1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[7786,17307,16785,23645,17543,10326,18645,26534,22321,19825,12264,13459,14739,10011,10004]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ammodytes dubius","[2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[86479,119920,2900400,3092600,1235300,2976700,2129700,1071000,397270,887750]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Nezumia bairdii","[2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[14317,15843,33676,41335,29760,22923,20129,43118,21509,19272]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Reinhardtius hippoglossoides","[1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[25819,33250,34562,17572,24546,7271,12071,13954,7831,7599,6508,10622,20169,17820,10210]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Mallotus villosus","[2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[1576400,2599200,1264200,140660,342300,7617100,4412200,10492000,4067500,2317900]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Glyptocephalus cynoglossus","[2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[6138,9704,9703,9221,6955,4063,4954,5315,7386,3506]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Urophycis tenuis","[2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[6976,2227,595,716,1292,568,105,31,347,273,784]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Macrourus berglax","[1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011]","Abundance estimate (number of individuals)","[7786,17307,16785,23645,17543,10326,18645,26534,22321,19825,12264,13459,14739,10011,10004]","MULTIPOINT((-50 43.083333))","Living planet index database",NA,"Nogueira, A., et al. (2013). ""Persistence and variation on the groundfish assemblages on the Southern Grand Banks (NAFO Divisions 3NO): 2002–2011."" Journal of Northwest Atlantic Fishery Science 45: 19-41.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
