"observed_scientific_name","years","unit","values","geom","original_source","title","publisher","intellectual_rights","license","owner"
"Macrhybopsis storeriana","[1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984]","Number of individuals/trawl hour","[4.4,7.91,6.86,0.35,6.86,1.58,9.67,34.81,7.21,1.76,39.91,1.58,142.76,205.87,155.94,68.04,93.71]","MULTIPOINT((-82.690547 42.436529))","Living planet index database","McCulloch, B., L. Bouvier, et al. (2013). Information in support of a recovery potential assessment of Silver chub (Macrhybopsis storeriana) in Ontario. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2013/020.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Macrhybopsis storeriana","[1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012]","Number of individuals per multi-mesh gang","[1.13,1.38,6.35,13.82,2.72,4.34,3.85,3.33,3.03,8.36,6.03,2.78,2.19,2.02,3.75,1,1.72,0.41,0.11,0.06,0.09,0.38,0.14]","MULTIPOINT((-81.252288 42.209417))","Living planet index database","McCulloch, B., L. Bouvier, et al. (2013). Information in support of a recovery potential assessment of Silver chub (Macrhybopsis storeriana) in Ontario. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2013/020.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
