"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Coryphaenoides rupestris","[1996,1997,1998,1999,2000,2001,2003,2004,2007,2008,2009]","Mean number of individuals per tow","[0.011,0.022,0.046,0.01,0.005,0.01,0.01,0.006,0.004,0.004,0.005]","MULTIPOINT((-47.315252 41.630515))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009]","Mean number of individuals per tow","[1.004,4.118,1.004,1.788,1.225,1.225,1.406,1.989,1.045,0.643,1.446,3.998,3.435,0.638,2.431]","MULTIPOINT((-50.28156 53.257559))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009]","Mean number of individuals per tow","[0.143,0.224,0.119,0.313,0.662,0.182,0.549,0.224,0.227,0.954,0.367,0.692,0.343]","MULTIPOINT((-52.940252 44.204538))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1990,1991,1992,1993,1994]","Mean number of individuals per tow","[0.067,0.022,0.145,0.088,0.004,0.018,0.068,0.004,0.075,0.011,0.009,0.001,0.001,0.004,0.008,0,0.003]","MULTIPOINT((-50.28156 53.257559))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1993,1994]","Mean number of individuals per tow","[0.009,0.037]","MULTIPOINT((-50.457342 50.936521))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009]","Mean number of individuals per tow","[1.908,6.846,2.395,4.176,2.543,2.945,5.257,4.027,3.794,5.68,1.335,5.023,3.836,8.181,7.991]","MULTIPOINT((-50.457342 50.936521))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009]","Mean number of individuals per tow","[1.004,4.118,1.004,1.788,1.225,1.225,1.406,1.989,1.045,0.643,1.446,3.998,3.435,0.638,2.431]","MULTIPOINT((-50.28156 53.257559))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009]","Mean number of individuals per tow","[0.143,0.224,0.119,0.313,0.662,0.182,0.549,0.224,0.227,0.954,0.367,0.692,0.343]","MULTIPOINT((-52.940252 44.204538))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1996,1997,1998,1999,2000,2001,2003,2004,2007,2008,2009]","Mean number of individuals per tow","[0.011,0.022,0.046,0.01,0.005,0.01,0.01,0.006,0.004,0.004,0.005]","MULTIPOINT((-47.315252 41.630515))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Coryphaenoides rupestris","[1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1990,1991,1992,1993,1994]","Mean number of individuals per tow","[0.067,0.022,0.145,0.088,0.004,0.018,0.068,0.004,0.075,0.011,0.009,0.001,0.001,0.004,0.008,0,0.003]","MULTIPOINT((-50.28156 53.257559))","Living planet index database",NA,"Simpson, M. R., C. M. Miri, et al. (2011). Recovery potential assessment of Roundnose grenadier (Coryphaenoides rupestris Gunnerus,1765) in Northwest Atlantic waters, DFO Can. Sci. Advis. Sec. Res. 2011/077.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
