"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Cryptacanthodes maculatus","[1985,1993]","Biomass (Kg)","[52134.8255,14637.5169]","MULTIPOINT((-65.50048 43.2532))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lumpenus lampretaeformis","[1986,1988]","Biomass (Kg)","[15498.5473,16467.2065]","MULTIPOINT((-65.50048 43.2532))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ammodytes dubius","[2000,2001,2002,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015]","Biomass (Kg)","[245.09326,53.341912,142.010075,2181.88242,1922.79014,677.292507,69564.3606,169970.629,922634.674,36.105971,25.987379,115.103196,5492.88353,2229.01897]","MULTIPOINT((-65.50048 43.2532))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Gadus morhua","[1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981]","Biomass (Kg)","[57475568.9,101185831,67960193.1,159113487,41068027.8,36432194.9,49790018.7,74570241.7,117059865,89880772.1,111964168,151900177]","MULTIPOINT((-61.56738 44.19795))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Macrourus berglax","[1998,2002,2006]","Biomass (Kg)","[219.480365,19.687777,27.249674]","MULTIPOINT((-61.56738 44.19795))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Scophthalmus aquosus","[1977,1978,1979,1981]","Biomass (Kg)","[26444.3184,43149.8263,21407.3054,11901.1895]","MULTIPOINT((-61.56738 44.19795))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hemitripterus americanus","[1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981]","Biomass (Kg)","[724018.761,610282.731,1185951.11,1890628.16,983877.033,1377518,749600.921,1734590.32,1216424.9,821978.002,1027156.2,575191.136]","MULTIPOINT((-61.56738 44.19795))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lycodes vahlii","[1999,2006,2013]","Biomass (Kg)","[135.24736,1113.27593,266.801576]","MULTIPOINT((-65.50048 43.2532))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ammodytes dubius","[1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016]","Biomass (Kg)","[12609378.1,563474.067,1202329.57,10199251.1,24098144.8,22399829.5,14176893.1,17595859.3,13186338.3,10490061,23944090.4,10777377.7,6814301.09,8954593.68,4090945.71,4981436.06,5428366.1,5902053.4,1934723.94,2088482.55,9001061.79,9255729.92]","MULTIPOINT((-61.56738 44.19795))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ammodytes dubius","[1983,1984,1985,1987,1988,1989,1990,1991,1992,1993,1994]","Biomass (Kg)","[31600.462,42831.8201,34685.7855,298660.354,2495054.93,493876.438,14568.8606,3844354.08,27146.6893,571438.696,101014.957]","MULTIPOINT((-61.56738 44.19795))","Living planet index database",NA,"DFO (2016). DFO Maritimes Research Vessel Trawl Surveys Fish Observations. Saint Andrews Biological Station, OBIS, Digital.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
