"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Osmerus mordax","[2001,2002,2003,2004,2005,2006]","Average abundance (numbers per hectare)","[18.69,38.25,61.8,11.94,34.16,113.43]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Osmerus mordax","[2001,2002,2003]","Average abundance (numbers per hectare)","[0.04,0.26,0.19]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Myoxocephalus octodecemspinosus","[2001,2002,2003]","Average abundance (numbers per hectare)","[0.08,0,0.02]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Myoxocephalus octodecemspinosus","[2001,2002,2003,2004,2005,2006]","Average abundance (numbers per hectare)","[0.22,0.25,0.09,0.21,0.08,0.72]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Scophthalmus aquosus","[2001,2002,2003]","Average abundance (numbers per hectare)","[0.17,0.3,1.94]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Hippoglossoides platessoides","[2002,2003,2004,2006]","Average abundance (numbers per hectare)","[2.46,0.51,0.22,0.27]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Scomber scombrus","[2001,2002,2003,2004,2005,2006]","Average abundance (numbers per hectare)","[0.06,0.27,0.6,1.18,0.73,0.88]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Clupea harengus","[2001,2002,2003,2004,2005,2006]","Average abundance (numbers per hectare)","[0.46,0.43,0.11,0.88,20.98,2.53]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Clupea harengus","[2001,2002,2003,2004,2005,2006]","Average abundance (numbers per hectare)","[0.62,2.29,0.27,0.27,1.77,0.52]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Leucoraja ocellata","[2001,2002,2003]","Average abundance (numbers per hectare)","[0.72,0.38,0.52]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Leucoraja ocellata","[2001,2002,2003,2004,2005,2006]","Average abundance (numbers per hectare)","[1.72,0.6,0.58,0.38,0.4,0.73]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Leucoraja ocellata","[2001,2002,2003,2004,2005,2006]","Average abundance (numbers per hectare)","[0.11,0.13,0.21,0,0,0.05]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Tautogolabrus adspersus","[2001,2002,2003]","Average abundance (numbers per hectare)","[0.07,0,0.13]","MULTIPOINT((-63.902612 46.237205))","Living planet index database",NA,"Bosman, S. H., D. A. Methven, et al. (2011). ""Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates."" Estuarine, Coastal and Shelf Science 92: 232-245.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
