"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Anarhichas lupus","[1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995]","Number per tow (standardised index of relative abundance)","[0.2938,0.4888,0.6019,0.889,0.7667,0.7263,0.7677,0.3691,0.2877,0.3291,0.4627,0.1255]","MULTIPOINT((-48.319336 48.138699))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas denticulatus","[1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995]","Number per tow (standardised index of relative abundance)","[0.0869,0.007733,0.0893,0.1651,0.0789,0.0183,0.003058,0.0281,0.0183,0.0281,0.0183]","MULTIPOINT((-48.319336 48.138699))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas lupus","[1975,1976,1977,1978,1979,1980,1981,1982]","Number per tow (standardised index of relative abundance)","[1.3537,1.0676,0.8429,0.4647,0.9872,0.9878,1.0702,0.9888]","MULTIPOINT((-48.319336 48.138699))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas minor","[1975,1976,1977,1978,1979,1980,1981,1982]","Number per tow (standardised index of relative abundance)","[0.3349,0.2755,0.3184,0.1204,0.2837,0.2837,0.6122,0.2388]","MULTIPOINT((-48.319336 48.138699))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas denticulatus","[1975,1976,1977,1978,1979,1980,1981,1982]","Number per tow (standardised index of relative abundance)","[0.0446,0.0245,0.0942,0.0446,0.1578,0.137,0.23,0.0398]","MULTIPOINT((-48.319336 48.138699))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas minor","[1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009]","Number per tow (standardised index of relative abundance)","[0.0706,0.0985,0.1233,0.0723,0.1761,0.2457,0.2551,0.1158,0.1932,0.2614,0.2893,0.15,0.4055,0.5526,0.3049]","MULTIPOINT((-52.757812 52.054271))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas lupus","[1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009]","Number per tow (standardised index of relative abundance)","[0.9175,1.6601,1.3046,1.7765,2.0783,1.9471,1.6147,0.9575,1.0041,2.0716,2.1182,2.1648,3.1394,1.8635,1.7864]","MULTIPOINT((-52.757812 52.054271))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas denticulatus","[1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009]","Number per tow (standardised index of relative abundance)","[0.0371,0.0927,0.0927,0.0927,0.1205,0.088,0.0927,0.051,0.0324,0.1575,0.1807,0.1344,0.2641,0.1945,0.1714]","MULTIPOINT((-52.757812 52.054271))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas minor","[1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994]","Number per tow (standardised index of relative abundance)","[1.2511,1.0545,0.9586,0.9771,0.5638,0.8982,0.7637,0.5981,0.273,0.386,0.2561,0.332,0.3274,0.154,0.1541,0.1108,0.0613,0.0273]","MULTIPOINT((-52.757812 52.054271))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas lupus","[1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994]","Number per tow (standardised index of relative abundance)","[6.8923,8.3001,4.7117,4.2788,2.4383,2.6551,2.9569,2.1837,1.9287,1.3719,1.0242,1.1559,0.9472,0.5143,0.5223,0.2904,0.3834,0.1826]","MULTIPOINT((-52.757812 52.054271))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas denticulatus","[1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994]","Number per tow (standardised index of relative abundance)","[5.0085,2.6502,2.3676,2.7521,2.0062,2.1359,1.9552,1.8023,1.2139,0.8525,0.6208,0.5931,0.3336,0.3104,0.1066,0.051,0.0232,0.0232]","MULTIPOINT((-52.757812 52.054271))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas minor","[1999,2000,2001,2002,2003,2004,2005,2008,2009,2010]","Number per tow (standardised index of relative abundance)","[0.0153,0.0297,0.0216,0.0217,0.0321,0.0158,0.0302,0.0162,0.0368,0.0164]","MULTIPOINT((-56.383301 46.711721))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Anarhichas lupus","[1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010]","Number per tow (standardised index of relative abundance)","[2.4729,0.5747,0.4928,3.2885,1.125,1.8798,2.0632,1.5936,2.5933,3.2461,1.7966,1.5923,2.388,1.7551]","MULTIPOINT((-56.383301 46.711721))","Living planet index database",NA,"Simpson, M. R., L. G. S. Mello, et al. (2012). ""A pre-COSEWIC assessment of three species of Wolffish (Anarhichas denticulatus, A. minor, and A. lupus) in Canadian waters of the Northwest Atlantic Ocean."" DFO Can. Sci. Advis. Sec. Res. Doc. 2011/122: iv+69 p.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
