"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Selene setapinnis","Selene setapinnis","species","Lune","Animalia","Chordata","Teleostei","Perciformes","Carangidae","Selene","Selene setapinnis"
"Tetronarce nobiliana","Tetronarce nobiliana","species","Torpille noire","Animalia","Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce","Tetronarce nobiliana"
"Arenaria interpres","Arenaria interpres","species","Tournepierre à collier","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres"
"Numenius phaeopus","Numenius phaeopus","species","Courlis corlieu","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus"
"Calidris alba","Calidris alba","species","Bécasseau sanderling","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alba"
"Pluvialis squatarola","Pluvialis squatarola","species","Pluvier argenté","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis squatarola"
"Coccyzus americanus","Coccyzus americanus","species","Coulicou à bec jaune","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Coccyzus americanus"
"Circus hudsonius","Circus","genus","Busard d'amérique","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus cyaneus"
"Antrostomus vociferus","Antrostomus vociferus","species","Engoulevent bois-pourri","Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","Antrostomus vociferus"
"Buteo platypterus","Buteo platypterus","species","Petite buse","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo platypterus"
"Buteo lineatus","Buteo lineatus","species","Buse à épaulettes","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lineatus"
"Bombycilla cedrorum","Bombycilla cedrorum","species","Jaseur d'amérique","Animalia","Chordata","Aves","Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum"
"Icterus galbula","Icterus galbula","species","Oriole du Nord","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus galbula"
"Quiscalus quiscula","Quiscalus quiscula","species","Quiscale bronzé","Animalia","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus quiscula"
"Passerella iliaca","Passerella iliaca","species","Bruant fauve","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Passerella","Passerella iliaca"
"Molothrus ater","Molothrus ater","species","Vacher à tête brune","Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater"
