"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Salvelinus namaycush","Salvelinus namaycush","species","Touladi","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus namaycush"
"Coregonus clupeaformis","Coregonus clupeaformis","species","Grand corégone","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus clupeaformis"
"Percina caprodes","Percina caprodes","species","Fouille-roche zébré","Animalia","Chordata","Teleostei","Perciformes","Percidae","Percina","Percina caprodes"
"Etheostoma nigrum","Etheostoma nigrum","species","","Animalia","Chordata","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma nigrum"
"Carassius auratus","Carassius auratus","species","Carassin","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Carassius","Carassius auratus"
"Ictiobus cyprinellus","Ictiobus cyprinellus","species","","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Ictiobus","Ictiobus cyprinellus"
"Notropis atherinoides","Notropis atherinoides","species","Méné émeraude","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Notropis","Notropis atherinoides"
"Semotilus corporalis","Semotilus corporalis","species","Ouitouche","Animalia","Chordata","Teleostei","Cypriniformes","Leuciscidae","Semotilus","Semotilus corporalis"
"Labidesthes sicculus","Labidesthes sicculus","species","Crayon d'argent","Animalia","Chordata","Teleostei","Atheriniformes","Atherinopsidae","Labidesthes","Labidesthes sicculus"
"Canis latrans","Canis latrans","species","Coyote","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis latrans"
"Thunnus thynnus","Thunnus thynnus","species","Thon rouge","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus","Thunnus thynnus"
"Hydrobates leucorhous","Hydrobates","genus","Pétrel cul-blanc","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Hydrobates","Oceanodroma leucorhoa"
"Alca torda","Alca torda","species","Petit pingouin","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda"
"Leucoraja garmani","Leucoraja garmani","species","Raie rosette","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja garmani"
"Rostroraja eglanteria","Rostroraja","genus","","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja eglanteria"
"Micropogonias undulatus","Micropogonias undulatus","species","Tambour brésilien","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Micropogonias","Micropogonias undulatus"
"Morone saxatilis","Morone saxatilis","species","Bar rayé","Animalia","Chordata","Teleostei","Perciformes","Moronidae","Morone","Morone saxatilis"
"Cynoscion regalis","Cynoscion regalis","species","Acoupa royal","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Cynoscion","Cynoscion regalis"
"Fundulus diaphanus","Fundulus diaphanus","species","Fondule barré","Animalia","Chordata","Teleostei","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus"
"Ammodytes americanus","Ammodytes americanus","species","Lançon d'amérique","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes americanus"
"Stenotomus chrysops","Stenotomus chrysops","species","Spare doré","Animalia","Chordata","Teleostei","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops"
"Lopholatilus chamaeleonticeps","Lopholatilus chamaeleonticeps","species","Tile chameau","Animalia","Chordata","Teleostei","Perciformes","Malacanthidae","Lopholatilus","Lopholatilus chamaeleonticeps"
"Centropristis striata","Centropristis striata","species","Fanfre noir","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Centropristis","Centropristis striata"
"Sebastes fasciatus","Sebastes fasciatus","species","Sébaste acadien","Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes fasciatus"
"Pomatomus saltatrix","Pomatomus saltatrix","species","Coupe-fil","Animalia","Chordata","Teleostei","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix"
"Pantherophis obsoletus","Pantherophis obsoletus","species","Serpent-ratier noir","Animalia","Chordata","Squamata","Squamata","Colubridae","Pantherophis","Pantherophis obsoletus"
"Pantherophis obsoletus obsoleta","Pantherophis obsoletus","species","Serpent-ratier noir","Animalia","Chordata","Squamata","Squamata","Colubridae","Pantherophis","Pantherophis obsoletus"
"Procyon lotor","Procyon lotor","species","Raton laveur","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor"
"Clemmys insculpta","Glyptemys insculpta","species","Tortue des bois","Animalia","Chordata","Testudines","Testudines","Emydidae","Glyptemys","Glyptemys insculpta"
"Pseudacris maculata","Pseudacris maculata","species","Rainette faux-grillon boréale","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris maculata"
"Eptesicus fuscus","Eptesicus fuscus","species","Grande chauve-souris brune","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus fuscus"
"Lasiurus borealis","Lasiurus borealis","species","Chauve-souris rousse","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Lasiurus","Lasiurus borealis"
"Lasiurus cinereus","Aeorestes cinereus","species","Chauve-souris cendrée","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Aeorestes","Aeorestes cinereus"
"Prionace glauca","Prionace glauca","species","Requin bleu","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca"
"Lepisosteus oculatus","Lepisosteus oculatus","species","Lépisosté tacheté","Animalia","Chordata","Holostei","Lepisosteiformes","Lepisosteidae","Lepisosteus","Lepisosteus oculatus"
"Odobenus rosmarus rosmarus","Odobenus rosmarus rosmarus","subspecies","","Animalia","Chordata","Mammalia","Carnivora","Odobenidae","Odobenus","Odobenus rosmarus"
"Tamias minimus","Tamias minimus","species","Tamia mineur","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias minimus"
"Mustela erminea","Mustela erminea","species","Hermine","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela erminea"
"Lepomis gulosus","Lepomis gulosus","species","Crapet sac-à-lait","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis gulosus"
"Noturus gyrinus","Noturus gyrinus","species","Chat-fou brun","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus gyrinus"
"Ameiurus natalis","Ameiurus natalis","species","Barbotte jaune","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus natalis"
"Ameiurus melas","Ameiurus melas","species","Barbotte noire","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas"
"Pimephales notatus","Pimephales notatus","species","Ventre-pourri","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Pimephales","Pimephales notatus"
"Umbra limi","Umbra limi","species","Umbre de vase","Animalia","Chordata","Teleostei","Esociformes","Umbridae","Umbra","Umbra limi"
"Esox americanus","Esox americanus","species","Brochet d'amérique","Animalia","Chordata","Teleostei","Esociformes","Esocidae","Esox","Esox americanus"
"Myoxocephalus thompsonii","Myoxocephalus thompsonii","species","","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus thompsonii"
"Gasterosteus wheatlandi","Gasterosteus","genus","","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus wheatlandi"
"Myoxocephalus aenaeus","Myoxocephalus aenaeus","species","Chaboisseau bronzé","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus"
"Pungitius pungitius","Pungitius pungitius","species","Épinoche à neuf épines","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Pungitius","Pungitius pungitius"
"Syngnathus fuscus","Syngnathus fuscus","species","Syngnathe brun","Animalia","Chordata","Teleostei","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus"
"Salvelinus fontinalis","Salvelinus fontinalis","species","Omble aurora","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"Stenella coeruleoalba","Stenella coeruleoalba","species","Dauphin bleu et blanc","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Stenella","Stenella coeruleoalba"
"Delphinus delphis","Delphinus delphis","species","Bec d'oie","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus delphis"
"Lagenorhynchus acutus","Lagenorhynchus acutus","species","Dauphin à flancs blancs","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus acutus"
"Globicephala melas","Globicephala melas","species","Globicéphale noir de l'atlantique","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Globicephala","Globicephala melas"
"Mesoplodon bidens","Mesoplodon bidens","species","Baleine à bec de sowerby","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon","Mesoplodon bidens"
"Strix varia","Strix varia","species","Chouette rayée","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix varia"
"Aegolius acadicus","Aegolius acadicus","species","Petite nyctale","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius acadicus"
"Asio flammeus","Asio flammeus","species","Hibou des marais","Animalia","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio flammeus"
"Bubo virginianus","Bubo virginianus","species","Grand-duc d'amérique","Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo virginianus"
"Aegolius funereus","Aegolius funereus","species","Nyctale de tengmalm","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus"
"Asio otus","Asio otus","species","Hibou moyen-duc","Animalia","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio otus"
"Cyprinodon variegatus variegatus","Cyprinodon variegatus","species","","Animalia","Chordata","","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","Cyprinodon variegatus"
"Cyprinodon variegatus","Cyprinodon variegatus","species","Pétote","Animalia","Chordata","Teleostei","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","Cyprinodon variegatus"
"Fundulus heteroclitus heteroclitus","Fundulus heteroclitus","species","","Animalia","Chordata","","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus"
