"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Salmo salar","[1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018]","Fish counts - known returns","[23,114,115,213,103,139,65,84,248,332,199,61,21,34,76,71,123,185,82,83,56,147,129,34,91,74,119,81,85,402,137,22,75,13,6,5,10]","MULTIPOINT((-71.16693 42.70009))","Living planet index database",NA," US Fish and Wildlife Service (2006). ""Historic Data Anadromous Fish Returns Merrimack River."" from http://www.fws.gov/r5cneafp/returns.htm.| US Fish and Wildlife Service. 2019. Anadromous Fish Returns - Merrimack River. https://www.fws.gov/northeast/cnefro/returns.html.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Alosa sapidissima","[1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018]","Fish counts - known returns","[5629,5497,12793,18173,16909,12359,7875,6013,16098,20796,8599,4349,13861,11322,22661,27891,56461,72800,76717,54586,55620,36593,6382,1205,15876,25116,23199,10442,13835,21396,37149,38107,89467,67528,62846,29060]","MULTIPOINT((-71.16693 42.70009))","Living planet index database",NA," US Fish and Wildlife Service (2006). ""Historic Data Anadromous Fish Returns Merrimack River."" from http://www.fws.gov/r5cneafp/returns.htm.| US Fish and Wildlife Service. 2019. Anadromous Fish Returns - Merrimack River. https://www.fws.gov/northeast/cnefro/returns.html.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
