"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Blarina brevicauda","[1966,1967,1968,1969,1970,1971,1973,1974,1975,1976]","Individuals per 100 undistrubed trap nights","[0.2,1.2,2.35,0,0.2,0.7,0,0.1,0.6,0.2]","MULTIPOINT((-73.19 45.57))","Living planet index database",NA," Grant, P. R. (1976). ""An 11-year study of small mammal populations at Mont St. Hilaire, Quebec."" Canadian Journal of Zoology. 54: 2156 - 2173.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Tamias striatus","[1966,1967,1968,1969,1970,1971,1973,1974,1975,1976]","Individuals trap nights^-1","[1,2.375,1,3.25,0.5,0.875,0,0,2.1,1]","MULTIPOINT((-73.19306 45.5675))","Living planet index database",NA," Grant, P. R. (1976). ""An 11-year study of small mammal populations at Mont St. Hilaire, Quebec."" Canadian Journal of Zoology. 54: 2156 - 2173.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Napaeozapus insignis","[1966,1967,1968,1969,1970,1971,1973,1974,1975,1976]","S/ INDIVIDUALS TRAP NIGHTS^-1/ 3","[0.2,0.2,1.15,0.2,0.2,0.2,1.2,0,0.3,0.2]","MULTIPOINT((-73.19306 45.5675))","Living planet index database",NA," Grant, P. R. (1976). ""An 11-year study of small mammal populations at Mont St. Hilaire, Quebec."" Canadian Journal of Zoology. 54: 2156 - 2173.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
