"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Amia calva","[2001,2008,2015]","Mean catch per trap net","[0.2,0.58,0.33]","MULTIPOINT((-77.59299 44.01301))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Amia calva","[2008,2015]","Mean catch per trap net","[1.08,2.81]","MULTIPOINT((-77.72313 43.99472))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Amia calva","[2008,2015]","Mean catch per trap net","[1.08,2.81]","MULTIPOINT((-77.72313 43.99472))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Amia calva","[2001,2008,2015]","Mean catch per trap net","[0.2,0.58,0.33]","MULTIPOINT((-77.59299 44.01301))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus nebulosus","[2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015]","Mean catch per trap net","[167.67,95.83,37.33,20.83,17.89,7.25,6.42,2.56,10.56,13.69,7.11,15.28,6.08,5.75]","MULTIPOINT((-77.22225 44.149251))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus nebulosus","[2001,2008,2015]","Mean catch per trap net","[17.8,2.63,2]","MULTIPOINT((-77.59299 44.01301))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus nebulosus","[2008,2015]","Mean catch per trap net","[27.67,20.94]","MULTIPOINT((-77.72313 43.99472))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus nebulosus","[2006,2008,2010,2012,2014,2015]","Mean catch per trap net","[380.79,189.33,482.67,76.25,251.71,753.79]","MULTIPOINT((-79.85068 43.28331))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Amia calva","[2006,2008,2010,2012,2014,2015]","Mean catch per trap net","[0.58,1.17,2.42,1.17,1.54,0.83]","MULTIPOINT((-79.85068 43.28331))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ambloplites rupestris","[2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015]","Mean catch per trap net","[0.92,0.67,0.64,0.58,0.5,4.83,3.97,3.89,2.44,4.5,1.08,7.97,4.92,2.5]","MULTIPOINT((-77.22225 44.149251))","Living planet index database",NA,"Ontario Ministry of Natural Resources and Forestry (2016). Lake Ontario Fish Communities and Fisheries: 2015 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources and Forestry.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
