"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Ambloplites rupestris","[2006,2007,2010,2012]","Mean catch per trap net","[0.33,1.13,2.58,4.75]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Morone chrysops","[2006,2007,2010,2012]","Mean catch per trap net","[0.33,0,0.04,0.04]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Cyprinus carpio","[2006,2007,2010,2012]","Mean catch per trap net","[1.58,2.5,4.75,3.67]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Morone americana","[2006,2007,2010,2012]","Mean catch per trap net","[0.04,0,0.25,0.92]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ictalurus punctatus","[2006,2007,2010,2012]","Mean catch per trap net","[0.04,0,0.17,0.08]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus nebulosus","[2006,2007,2010,2012]","Mean catch per trap net","[32.63,14.79,8.42,198]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Alosa pseudoharengus","[2006,2007,2010,2012]","Mean catch per trap net","[3.79,4.58,0.42,9.5]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Amia calva","[2006,2007,2010,2012]","Mean catch per trap net","[0.33,0.08,0.46,0.42]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Alosa pseudoharengus","[2006,2007,2010,2012]","Mean catch per trap net","[3.79,4.58,0.42,9.5]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Amia calva","[2006,2007,2010,2012]","Mean catch per trap net","[0.33,0.08,0.46,0.42]","MULTIPOINT((-79.361398 43.62142))","Living planet index database",NA,"Ontario Ministry of Natural Resources (2013). Lake Ontario Fish Communities and Fisheries: 2012 Annual Report of the Lake Ontario Management Unit. Picton, Ontario, Canada, Ontario Ministry of Natural Resources.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
