"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Lithobates clamitans","[1992,1993,1994]","Mean adult abundance","[12,15,12]","MULTIPOINT((-80.98194 43.37))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans","[1992,1993,1994]","Mean adult abundance","[4,7,10]","MULTIPOINT((-82.81667 42.16667))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans melanota","[1992,1993,1994]","Mean adult abundance","[4,7,10]","MULTIPOINT((-82.81667 42.16667))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans","[1992,1993,1994]","Mean adult abundance","[35,12,9]","MULTIPOINT((-81.10944 44.42389))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans melanota","[1992,1993,1994]","Mean adult abundance","[35,12,9]","MULTIPOINT((-81.10944 44.42389))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans melanota","[1992,1993,1994]","Mean adult abundance","[12,15,12]","MULTIPOINT((-80.98194 43.37))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans","[1992,1993,1994]","Mean adult abundance","[12,15,12]","MULTIPOINT((-80.98194 43.37))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans","[1992,1993,1994]","Mean adult abundance","[4,7,10]","MULTIPOINT((-82.81667 42.16667))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans melanota","[1992,1993,1994]","Mean adult abundance","[4,7,10]","MULTIPOINT((-82.81667 42.16667))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans","[1992,1993,1994]","Mean adult abundance","[35,12,9]","MULTIPOINT((-81.10944 44.42389))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans melanota","[1992,1993,1994]","Mean adult abundance","[35,12,9]","MULTIPOINT((-81.10944 44.42389))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lithobates clamitans melanota","[1992,1993,1994]","Mean adult abundance","[12,15,12]","MULTIPOINT((-80.98194 43.37))","Living planet index database",NA," Hecnar, S. J. and R. T. McLoskey (1997). ""Spatial scale and determination of species status of the green frog."" Conservation Biology 11(3): 670-682.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
