auteur,statut,institution,ville,pays
Bob O'Hara,Professor,Norwegian University of Science and Technology,Trondheim,Norway
Nicole A. Hill,NA,University of Tasmania,Hobart,Australia
Francis K.C. Hui,NA,The Australian National University,Acton,Australia
Magne Husby,NA,Nord University,Rostad,Norway
John Atle Kålås,NA,Norwegian Institute for Nature Research,Trondheim,Norway
Aleksi Lehikoinen,NA,University of Helsinki,Helsinki,Finland
Miska Luoto,NA,University of Helsinki,Helsinki,Finland
Heidi K. Mod,NA,University of Lausanne,Lausanne,Switzerland
Graeme Newell,NA,Arthur Rylah Institute for Environmental Research,Victoria,Australia
Ian Renner,NA,The University of Newcastle,New South Wales,Australia
Janne Soininen,NA,University of Helsinki,Helsinki,Finland
Wilfried Thuiller,Professor,University Grenoble Alpes,Grenoble,France
Jarno Vanhatalo,NA,University of Helsinki,Helsinki,Finland
David Warton,NA,University of New South Wales,New South Wales,Australia
Matt White,NA,Arthur Rylah Institute for Environmental Research,Victoria,Australia
Niklaus E. Zimmermann,Professor,Swiss Federal Research Institute WSL,Birmensdorf,Switzerland
Otso Ovaskainen,Professor,University of Helsinki,Helsinki,Finland
Anne Bruneau,Professor,Universite de Montreal,Montreal,Canada
Andrew Gonzalez,Professor,McGill University,Montreal,Canada
Alyssa R. Cirtwill,NA,University of Canterbury,Christchurch,New Zealand
Ashkaan K. Fahimipour,NA,University of Oregon,Eugene,USA
Joshua A. Grochow,NA,University of Colorado Boulder,Dubendorf,Switzerland
Daijiang Li,NA,University of Florida,Gainesville,USA
Alicia McGrew,NA,University of Florida,Gainesville,USA
Tamara N. Romanuk,NA,Dalhousie University,Nova Scotia,Canada
Lauren B. Trotta,NA,University of Florida,Gainesville,USA
Fernanda S. Valdovinos,NA,University of Michigan,Ann Arbor,USA
Richard J. Williams,NA,Vibrant Data Inc,San Francisco,USA
Marcus A.M. de Aguiar,Professor,Universidade Estadual de Campinas,Campinas,Brazil
Carl Boettiger,Professor,University of California,Berkeley,USA
James L. O’Donnell,NA,University of Washington,Seattle,USA
Bright B. Kumordzi,NA,Universite Laval,Quebec,Canada
Françoise Cardou,Student,Universite de Sherbrooke,Sherbrooke,Canada
Bill Shipley,Professor,Universite de Sherbrooke,Sherbrooke,Canada
Cyrille Violle,Professor,Universite de Montpellie,Montpellier,France
Jill Johnstone,NA,University of Saskatchewan,Saskatoon,Canada
Madhur Anand,NA,University of Guelph,Guelph,Canada
André Arsenault,NA,Memorial University of Newfoundland,Corner Brook,Canada
F. Wayne Bell,NA,Natural Resources Canada,Sault Ste Marie,Canada
Maxime Brousseau,NA,Universite Laval,Quebec,Canada
Louis De Grandpré,NA,Natural Resources Canada,Sault Ste Marie,Canada
Sylvain Delagrange,NA,Universite du Quebec en Outaouais,Ripon,Canada
Nicole J. Fenton,NA,Universite du Quebec en Abitibi_Temiscamingue,Rouyn_Noranda,Canada
S. Ellen Macdonald,NA,University of Alberta,Edmonton,Canada
Benoit Hamel,NA,Natural Resources Canada,Sault Ste Marie,Canada
Morgane Higelin,NA,Universite du Quebec en Abitibi_Temiscamingue,Rouyn_Noranda,Canada
François Hébert,NA,"Ministere des Forets, de la Faune et des Parcs",Quebec,Canada
Nathalie Isabel,NA,Natural Resources Canada,Sault Ste Marie,Canada
Azim Mallik,NA,akehead University,Thunder Bay,Canada
Anne C.S. McIntosh,NA,University of Alberta,Edmonton,Canada
Jennie R. McLaren,NA,University of Texas at El Paso,El Paso,USA
Dave Morris,NA,Ontario Ministry of Natural Resources and Forestry,"Thunder Bay,",Canada
Nelson Thiffault,NA,Universite Laval,Quebec,Canada
Jean-Pierre Tremblay,NA,Universite Laval,Quebec,Canada
Alison D. Munson,NA,Universite Laval,Quebec,Canada
Camille Albouy,NA,IFREMER,Nantes,France
Ward Appeltans,NA,UNESCO,Ostend,Belgium
David Beauchesne,Student,Universite du Quebec a Rimouski,Rimouski,Canada
