"auteur1","auteur2","articleID"
"Delphine Clara Zemp","Nadia Barsoum","grossman2018"
"Michael Scherer-Lorenzen","Nadia Barsoum","grossman2018"
"Kris Verheyen","Nadia Barsoum","grossman2018"
"Jake J. Grossman","Jürgen Bauhus","grossman2018"
"Margot Vanhellemont","Jürgen Bauhus","grossman2018"
"Nadia Barsoum","Jürgen Bauhus","grossman2018"
"Helge Bruelheide","Jürgen Bauhus","grossman2018"
"Bastien Castagneyrol","Jürgen Bauhus","grossman2018"
"Jeannine Cavender-Bares","Jürgen Bauhus","grossman2018"
"Nico Eisenhauer","Jürgen Bauhus","grossman2018"
"Olga Ferlian","Jürgen Bauhus","grossman2018"
"Dominique Gravel","Jürgen Bauhus","grossman2018"
"Andy Hector","Jürgen Bauhus","grossman2018"
"Hervé Jactel","Jürgen Bauhus","grossman2018"
"Holger Kreft","Jürgen Bauhus","grossman2018"
"Simone Mereu","Jürgen Bauhus","grossman2018"
"Christian Messier","Jürgen Bauhus","grossman2018"
"Bart Muys","Jürgen Bauhus","grossman2018"
"Charles Nock","Jürgen Bauhus","grossman2018"
"Alain Paquette","Jürgen Bauhus","grossman2018"
"John Parker","Jürgen Bauhus","grossman2018"
"Michael P. Perring","Jürgen Bauhus","grossman2018"
"Quentin Ponette","Jürgen Bauhus","grossman2018"
"Peter B. Reich","Jürgen Bauhus","grossman2018"
"Andreas Schuldt","Jürgen Bauhus","grossman2018"
"Michael Staab","Jürgen Bauhus","grossman2018"
"Martin Weih","Jürgen Bauhus","grossman2018"
"Delphine Clara Zemp","Jürgen Bauhus","grossman2018"
"Michael Scherer-Lorenzen","Jürgen Bauhus","grossman2018"
"Kris Verheyen","Jürgen Bauhus","grossman2018"
"Jake J. Grossman","Helge Bruelheide","grossman2018"
"Margot Vanhellemont","Helge Bruelheide","grossman2018"
"Nadia Barsoum","Helge Bruelheide","grossman2018"
"Jürgen Bauhus","Helge Bruelheide","grossman2018"
"Bastien Castagneyrol","Helge Bruelheide","grossman2018"
"Jeannine Cavender-Bares","Helge Bruelheide","grossman2018"
"Nico Eisenhauer","Helge Bruelheide","grossman2018"
"Olga Ferlian","Helge Bruelheide","grossman2018"
"Dominique Gravel","Helge Bruelheide","grossman2018"
"Andy Hector","Helge Bruelheide","grossman2018"
"Hervé Jactel","Helge Bruelheide","grossman2018"
"Holger Kreft","Helge Bruelheide","grossman2018"
"Simone Mereu","Helge Bruelheide","grossman2018"
"Christian Messier","Helge Bruelheide","grossman2018"
"Bart Muys","Helge Bruelheide","grossman2018"
"Charles Nock","Helge Bruelheide","grossman2018"
"Alain Paquette","Helge Bruelheide","grossman2018"
"John Parker","Helge Bruelheide","grossman2018"
"Michael P. Perring","Helge Bruelheide","grossman2018"
"Quentin Ponette","Helge Bruelheide","grossman2018"
"Peter B. Reich","Helge Bruelheide","grossman2018"
"Andreas Schuldt","Helge Bruelheide","grossman2018"
"Michael Staab","Helge Bruelheide","grossman2018"
"Martin Weih","Helge Bruelheide","grossman2018"
"Delphine Clara Zemp","Helge Bruelheide","grossman2018"
"Michael Scherer-Lorenzen","Helge Bruelheide","grossman2018"
"Kris Verheyen","Helge Bruelheide","grossman2018"
"Jake J. Grossman","Bastien Castagneyrol","grossman2018"
"Margot Vanhellemont","Bastien Castagneyrol","grossman2018"
"Nadia Barsoum","Bastien Castagneyrol","grossman2018"
"Jürgen Bauhus","Bastien Castagneyrol","grossman2018"
"Helge Bruelheide","Bastien Castagneyrol","grossman2018"
"Jeannine Cavender-Bares","Bastien Castagneyrol","grossman2018"
"Nico Eisenhauer","Bastien Castagneyrol","grossman2018"
"Olga Ferlian","Bastien Castagneyrol","grossman2018"
"Dominique Gravel","Bastien Castagneyrol","grossman2018"
"Andy Hector","Bastien Castagneyrol","grossman2018"
"Hervé Jactel","Bastien Castagneyrol","grossman2018"
"Holger Kreft","Bastien Castagneyrol","grossman2018"
"Simone Mereu","Bastien Castagneyrol","grossman2018"
"Christian Messier","Bastien Castagneyrol","grossman2018"
"Bart Muys","Bastien Castagneyrol","grossman2018"
"Charles Nock","Bastien Castagneyrol","grossman2018"
"Alain Paquette","Bastien Castagneyrol","grossman2018"
"John Parker","Bastien Castagneyrol","grossman2018"
"Michael P. Perring","Bastien Castagneyrol","grossman2018"
"Quentin Ponette","Bastien Castagneyrol","grossman2018"
"Peter B. Reich","Bastien Castagneyrol","grossman2018"
"Andreas Schuldt","Bastien Castagneyrol","grossman2018"
"Michael Staab","Bastien Castagneyrol","grossman2018"
"Martin Weih","Bastien Castagneyrol","grossman2018"
"Delphine Clara Zemp","Bastien Castagneyrol","grossman2018"
"Michael Scherer-Lorenzen","Bastien Castagneyrol","grossman2018"
"Kris Verheyen","Bastien Castagneyrol","grossman2018"
"Jake J. Grossman","Jeannine Cavender-Bares","grossman2018"
"Margot Vanhellemont","Jeannine Cavender-Bares","grossman2018"
"Nadia Barsoum","Jeannine Cavender-Bares","grossman2018"
"Jürgen Bauhus","Jeannine Cavender-Bares","grossman2018"
"Helge Bruelheide","Jeannine Cavender-Bares","grossman2018"
"Bastien Castagneyrol","Jeannine Cavender-Bares","grossman2018"
"Nico Eisenhauer","Jeannine Cavender-Bares","grossman2018"
"Olga Ferlian","Jeannine Cavender-Bares","grossman2018"
"Dominique Gravel","Jeannine Cavender-Bares","grossman2018"
"Andy Hector","Jeannine Cavender-Bares","grossman2018"
"Hervé Jactel","Jeannine Cavender-Bares","grossman2018"
"Holger Kreft","Jeannine Cavender-Bares","grossman2018"
"Simone Mereu","Jeannine Cavender-Bares","grossman2018"
"Christian Messier","Jeannine Cavender-Bares","grossman2018"
"Bart Muys","Jeannine Cavender-Bares","grossman2018"
"Charles Nock","Jeannine Cavender-Bares","grossman2018"
"Alain Paquette","Jeannine Cavender-Bares","grossman2018"
"John Parker","Jeannine Cavender-Bares","grossman2018"
"Michael P. Perring","Jeannine Cavender-Bares","grossman2018"
"Quentin Ponette","Jeannine Cavender-Bares","grossman2018"
"Peter B. Reich","Jeannine Cavender-Bares","grossman2018"
"Andreas Schuldt","Jeannine Cavender-Bares","grossman2018"
"Michael Staab","Jeannine Cavender-Bares","grossman2018"
"Martin Weih","Jeannine Cavender-Bares","grossman2018"
"Delphine Clara Zemp","Jeannine Cavender-Bares","grossman2018"
"Michael Scherer-Lorenzen","Jeannine Cavender-Bares","grossman2018"
"Kris Verheyen","Jeannine Cavender-Bares","grossman2018"
"Jake J. Grossman","Nico Eisenhauer","grossman2018"
"Margot Vanhellemont","Nico Eisenhauer","grossman2018"
"Nadia Barsoum","Nico Eisenhauer","grossman2018"
"Jürgen Bauhus","Nico Eisenhauer","grossman2018"
"Helge Bruelheide","Nico Eisenhauer","grossman2018"
"Bastien Castagneyrol","Nico Eisenhauer","grossman2018"
"Jeannine Cavender-Bares","Nico Eisenhauer","grossman2018"
"Olga Ferlian","Nico Eisenhauer","grossman2018"
"Dominique Gravel","Nico Eisenhauer","grossman2018"
"Andy Hector","Nico Eisenhauer","grossman2018"
"Hervé Jactel","Nico Eisenhauer","grossman2018"
"Holger Kreft","Nico Eisenhauer","grossman2018"
"Simone Mereu","Nico Eisenhauer","grossman2018"
"Christian Messier","Nico Eisenhauer","grossman2018"
"Bart Muys","Nico Eisenhauer","grossman2018"
"Charles Nock","Nico Eisenhauer","grossman2018"
