"auteur1","auteur2","articleID"
"Dominique Gravel","Mathias M. Pires","delmas2019"
"Paulo R. Guimarães Jr","Mathias M. Pires","delmas2019"
"David H. Hembry","Mathias M. Pires","delmas2019"
"Erica A. Newman","Mathias M. Pires","delmas2019"
"Jens M. Olesen","Mathias M. Pires","delmas2019"
"Justin D. Yeakel","Mathias M. Pires","delmas2019"
"Timothée Poisot","Mathias M. Pires","delmas2019"
"Eva Delmas","Justin D. Yeakel","delmas2019"
"Mathilde Besson","Justin D. Yeakel","delmas2019"
"Marie-Hélène Brice","Justin D. Yeakel","delmas2019"
"Laura A. Burkle","Justin D. Yeakel","delmas2019"
"Giulio V. Dalla Riva","Justin D. Yeakel","delmas2019"
"Marie-Josée Fortin","Justin D. Yeakel","delmas2019"
"Dominique Gravel","Justin D. Yeakel","delmas2019"
"Paulo R. Guimarães Jr","Justin D. Yeakel","delmas2019"
"David H. Hembry","Justin D. Yeakel","delmas2019"
"Erica A. Newman","Justin D. Yeakel","delmas2019"
"Jens M. Olesen","Justin D. Yeakel","delmas2019"
"Mathias M. Pires","Justin D. Yeakel","delmas2019"
"Timothée Poisot","Justin D. Yeakel","delmas2019"
"Eva Delmas","Timothée Poisot","delmas2019"
"Mathilde Besson","Timothée Poisot","delmas2019"
"Marie-Hélène Brice","Timothée Poisot","delmas2019"
"Laura A. Burkle","Timothée Poisot","delmas2019"
"Giulio V. Dalla Riva","Timothée Poisot","delmas2019"
"Marie-Josée Fortin","Timothée Poisot","delmas2019"
"Dominique Gravel","Timothée Poisot","delmas2019"
"Paulo R. Guimarães Jr","Timothée Poisot","delmas2019"
"David H. Hembry","Timothée Poisot","delmas2019"
"Erica A. Newman","Timothée Poisot","delmas2019"
"Jens M. Olesen","Timothée Poisot","delmas2019"
"Mathias M. Pires","Timothée Poisot","delmas2019"
"Justin D. Yeakel","Timothée Poisot","delmas2019"
"Nicolas Casajus","Pierre Legagneux","legagneux2018"
"Kevin Cazelles","Pierre Legagneux","legagneux2018"
"Clément Chevallier","Pierre Legagneux","legagneux2018"
"Marion Chevrinais","Pierre Legagneux","legagneux2018"
"Lorelei Guéry","Pierre Legagneux","legagneux2018"
"Claire Jacquet","Pierre Legagneux","legagneux2018"
"Mikael Jaffré","Pierre Legagneux","legagneux2018"
"Marie-José Naud","Pierre Legagneux","legagneux2018"
"Fanny Noisette","Pierre Legagneux","legagneux2018"
"Pascale Ropars","Pierre Legagneux","legagneux2018"
"Steve Vissault","Pierre Legagneux","legagneux2018"
"Philippe Archambault","Pierre Legagneux","legagneux2018"
"Joel Bêty","Pierre Legagneux","legagneux2018"
"Dominique Berteaux","Pierre Legagneux","legagneux2018"
"Dominique Gravel","Pierre Legagneux","legagneux2018"
"Pierre Legagneux","Nicolas Casajus","legagneux2018"
"Kevin Cazelles","Nicolas Casajus","legagneux2018"
"Clément Chevallier","Nicolas Casajus","legagneux2018"
"Marion Chevrinais","Nicolas Casajus","legagneux2018"
"Lorelei Guéry","Nicolas Casajus","legagneux2018"
"Claire Jacquet","Nicolas Casajus","legagneux2018"
"Mikael Jaffré","Nicolas Casajus","legagneux2018"
"Marie-José Naud","Nicolas Casajus","legagneux2018"
"Fanny Noisette","Nicolas Casajus","legagneux2018"
"Pascale Ropars","Nicolas Casajus","legagneux2018"
"Steve Vissault","Nicolas Casajus","legagneux2018"
"Philippe Archambault","Nicolas Casajus","legagneux2018"
"Joel Bêty","Nicolas Casajus","legagneux2018"
"Dominique Berteaux","Nicolas Casajus","legagneux2018"
"Dominique Gravel","Nicolas Casajus","legagneux2018"
"Pierre Legagneux","Kevin Cazelles","legagneux2018"
"Nicolas Casajus","Kevin Cazelles","legagneux2018"
"Clément Chevallier","Kevin Cazelles","legagneux2018"
"Marion Chevrinais","Kevin Cazelles","legagneux2018"
"Lorelei Guéry","Kevin Cazelles","legagneux2018"
"Claire Jacquet","Kevin Cazelles","legagneux2018"
"Mikael Jaffré","Kevin Cazelles","legagneux2018"
"Marie-José Naud","Kevin Cazelles","legagneux2018"
"Fanny Noisette","Kevin Cazelles","legagneux2018"
"Pascale Ropars","Kevin Cazelles","legagneux2018"
"Steve Vissault","Kevin Cazelles","legagneux2018"
"Philippe Archambault","Kevin Cazelles","legagneux2018"
"Joel Bêty","Kevin Cazelles","legagneux2018"
"Dominique Berteaux","Kevin Cazelles","legagneux2018"
"Dominique Gravel","Kevin Cazelles","legagneux2018"
"Pierre Legagneux","Clément Chevallier","legagneux2018"
"Nicolas Casajus","Clément Chevallier","legagneux2018"
"Kevin Cazelles","Clément Chevallier","legagneux2018"
"Marion Chevrinais","Clément Chevallier","legagneux2018"
"Lorelei Guéry","Clément Chevallier","legagneux2018"
"Claire Jacquet","Clément Chevallier","legagneux2018"
"Mikael Jaffré","Clément Chevallier","legagneux2018"
"Marie-José Naud","Clément Chevallier","legagneux2018"
"Fanny Noisette","Clément Chevallier","legagneux2018"
"Pascale Ropars","Clément Chevallier","legagneux2018"
"Steve Vissault","Clément Chevallier","legagneux2018"
"Philippe Archambault","Clément Chevallier","legagneux2018"
"Joel Bêty","Clément Chevallier","legagneux2018"
"Dominique Berteaux","Clément Chevallier","legagneux2018"
"Dominique Gravel","Clément Chevallier","legagneux2018"
"Pierre Legagneux","Marion Chevrinais","legagneux2018"
"Nicolas Casajus","Marion Chevrinais","legagneux2018"
"Kevin Cazelles","Marion Chevrinais","legagneux2018"
"Clément Chevallier","Marion Chevrinais","legagneux2018"
"Lorelei Guéry","Marion Chevrinais","legagneux2018"
"Claire Jacquet","Marion Chevrinais","legagneux2018"
"Mikael Jaffré","Marion Chevrinais","legagneux2018"
"Marie-José Naud","Marion Chevrinais","legagneux2018"
"Fanny Noisette","Marion Chevrinais","legagneux2018"
"Pascale Ropars","Marion Chevrinais","legagneux2018"
"Steve Vissault","Marion Chevrinais","legagneux2018"
"Philippe Archambault","Marion Chevrinais","legagneux2018"
"Joel Bêty","Marion Chevrinais","legagneux2018"
"Dominique Berteaux","Marion Chevrinais","legagneux2018"
"Dominique Gravel","Marion Chevrinais","legagneux2018"
"Pierre Legagneux","Lorelei Guéry","legagneux2018"
"Nicolas Casajus","Lorelei Guéry","legagneux2018"
"Kevin Cazelles","Lorelei Guéry","legagneux2018"
"Clément Chevallier","Lorelei Guéry","legagneux2018"
"Marion Chevrinais","Lorelei Guéry","legagneux2018"
"Claire Jacquet","Lorelei Guéry","legagneux2018"
"Mikael Jaffré","Lorelei Guéry","legagneux2018"
"Marie-José Naud","Lorelei Guéry","legagneux2018"
"Fanny Noisette","Lorelei Guéry","legagneux2018"
"Pascale Ropars","Lorelei Guéry","legagneux2018"
"Steve Vissault","Lorelei Guéry","legagneux2018"
"Philippe Archambault","Lorelei Guéry","legagneux2018"
"Joel Bêty","Lorelei Guéry","legagneux2018"
"Dominique Berteaux","Lorelei Guéry","legagneux2018"
"Dominique Gravel","Lorelei Guéry","legagneux2018"
"Pierre Legagneux","Claire Jacquet","legagneux2018"
"Nicolas Casajus","Claire Jacquet","legagneux2018"
"Kevin Cazelles","Claire Jacquet","legagneux2018"
"Clément Chevallier","Claire Jacquet","legagneux2018"
"Marion Chevrinais","Claire Jacquet","legagneux2018"
"Lorelei Guéry","Claire Jacquet","legagneux2018"
"Mikael Jaffré","Claire Jacquet","legagneux2018"
"Marie-José Naud","Claire Jacquet","legagneux2018"
"Fanny Noisette","Claire Jacquet","legagneux2018"
"Pascale Ropars","Claire Jacquet","legagneux2018"
"Steve Vissault","Claire Jacquet","legagneux2018"
"Philippe Archambault","Claire Jacquet","legagneux2018"
"Joel Bêty","Claire Jacquet","legagneux2018"
"Dominique Berteaux","Claire Jacquet","legagneux2018"
"Dominique Gravel","Claire Jacquet","legagneux2018"
"Pierre Legagneux","Mikael Jaffré","legagneux2018"
"Nicolas Casajus","Mikael Jaffré","legagneux2018"
"Kevin Cazelles","Mikael Jaffré","legagneux2018"
"Clément Chevallier","Mikael Jaffré","legagneux2018"
"Marion Chevrinais","Mikael Jaffré","legagneux2018"
"Lorelei Guéry","Mikael Jaffré","legagneux2018"
"Claire Jacquet","Mikael Jaffré","legagneux2018"
"Marie-José Naud","Mikael Jaffré","legagneux2018"
"Fanny Noisette","Mikael Jaffré","legagneux2018"
"Pascale Ropars","Mikael Jaffré","legagneux2018"
"Steve Vissault","Mikael Jaffré","legagneux2018"
"Philippe Archambault","Mikael Jaffré","legagneux2018"
"Joel Bêty","Mikael Jaffré","legagneux2018"
"Dominique Berteaux","Mikael Jaffré","legagneux2018"
"Dominique Gravel","Mikael Jaffré","legagneux2018"
"Pierre Legagneux","Marie-José Naud","legagneux2018"
"Nicolas Casajus","Marie-José Naud","legagneux2018"
"Kevin Cazelles","Marie-José Naud","legagneux2018"
"Clément Chevallier","Marie-José Naud","legagneux2018"
"Marion Chevrinais","Marie-José Naud","legagneux2018"
"Lorelei Guéry","Marie-José Naud","legagneux2018"
"Claire Jacquet","Marie-José Naud","legagneux2018"
"Mikael Jaffré","Marie-José Naud","legagneux2018"
"Fanny Noisette","Marie-José Naud","legagneux2018"
"Pascale Ropars","Marie-José Naud","legagneux2018"
"Steve Vissault","Marie-José Naud","legagneux2018"
"Philippe Archambault","Marie-José Naud","legagneux2018"
"Joel Bêty","Marie-José Naud","legagneux2018"
"Dominique Berteaux","Marie-José Naud","legagneux2018"
"Dominique Gravel","Marie-José Naud","legagneux2018"
"Pierre Legagneux","Fanny Noisette","legagneux2018"
"Nicolas Casajus","Fanny Noisette","legagneux2018"
"Kevin Cazelles","Fanny Noisette","legagneux2018"
"Clément Chevallier","Fanny Noisette","legagneux2018"
"Marion Chevrinais","Fanny Noisette","legagneux2018"
"Lorelei Guéry","Fanny Noisette","legagneux2018"
"Claire Jacquet","Fanny Noisette","legagneux2018"
"Mikael Jaffré","Fanny Noisette","legagneux2018"
"Marie-José Naud","Fanny Noisette","legagneux2018"
"Pascale Ropars","Fanny Noisette","legagneux2018"
"Steve Vissault","Fanny Noisette","legagneux2018"
"Philippe Archambault","Fanny Noisette","legagneux2018"
"Joel Bêty","Fanny Noisette","legagneux2018"
"Dominique Berteaux","Fanny Noisette","legagneux2018"
"Dominique Gravel","Fanny Noisette","legagneux2018"
"Pierre Legagneux","Pascale Ropars","legagneux2018"
"Nicolas Casajus","Pascale Ropars","legagneux2018"
"Kevin Cazelles","Pascale Ropars","legagneux2018"
"Clément Chevallier","Pascale Ropars","legagneux2018"
"Marion Chevrinais","Pascale Ropars","legagneux2018"
"Lorelei Guéry","Pascale Ropars","legagneux2018"
"Claire Jacquet","Pascale Ropars","legagneux2018"
"Mikael Jaffré","Pascale Ropars","legagneux2018"
"Marie-José Naud","Pascale Ropars","legagneux2018"
"Fanny Noisette","Pascale Ropars","legagneux2018"
"Steve Vissault","Pascale Ropars","legagneux2018"
"Philippe Archambault","Pascale Ropars","legagneux2018"
"Joel Bêty","Pascale Ropars","legagneux2018"
"Dominique Berteaux","Pascale Ropars","legagneux2018"
"Dominique Gravel","Pascale Ropars","legagneux2018"
"Pierre Legagneux","Steve Vissault","legagneux2018"
"Nicolas Casajus","Steve Vissault","legagneux2018"
"Kevin Cazelles","Steve Vissault","legagneux2018"
"Clément Chevallier","Steve Vissault","legagneux2018"
"Marion Chevrinais","Steve Vissault","legagneux2018"
"Lorelei Guéry","Steve Vissault","legagneux2018"
"Claire Jacquet","Steve Vissault","legagneux2018"
"Mikael Jaffré","Steve Vissault","legagneux2018"
"Marie-José Naud","Steve Vissault","legagneux2018"
"Fanny Noisette","Steve Vissault","legagneux2018"
"Pascale Ropars","Steve Vissault","legagneux2018"
"Philippe Archambault","Steve Vissault","legagneux2018"
"Joel Bêty","Steve Vissault","legagneux2018"
"Dominique Berteaux","Steve Vissault","legagneux2018"
"Dominique Gravel","Steve Vissault","legagneux2018"
"Pierre Legagneux","Philippe Archambault","legagneux2018"
"Nicolas Casajus","Philippe Archambault","legagneux2018"
"Kevin Cazelles","Philippe Archambault","legagneux2018"
"Clément Chevallier","Philippe Archambault","legagneux2018"
"Marion Chevrinais","Philippe Archambault","legagneux2018"
"Lorelei Guéry","Philippe Archambault","legagneux2018"
"Claire Jacquet","Philippe Archambault","legagneux2018"
"Mikael Jaffré","Philippe Archambault","legagneux2018"
"Marie-José Naud","Philippe Archambault","legagneux2018"
"Fanny Noisette","Philippe Archambault","legagneux2018"
"Pascale Ropars","Philippe Archambault","legagneux2018"
"Steve Vissault","Philippe Archambault","legagneux2018"
"Joel Bêty","Philippe Archambault","legagneux2018"
"Dominique Berteaux","Philippe Archambault","legagneux2018"
"Dominique Gravel","Philippe Archambault","legagneux2018"
"Pierre Legagneux","Joel Bêty","legagneux2018"
"Nicolas Casajus","Joel Bêty","legagneux2018"
"Kevin Cazelles","Joel Bêty","legagneux2018"
"Clément Chevallier","Joel Bêty","legagneux2018"
"Marion Chevrinais","Joel Bêty","legagneux2018"
"Lorelei Guéry","Joel Bêty","legagneux2018"
"Claire Jacquet","Joel Bêty","legagneux2018"
"Mikael Jaffré","Joel Bêty","legagneux2018"
"Marie-José Naud","Joel Bêty","legagneux2018"
"Fanny Noisette","Joel Bêty","legagneux2018"
"Pascale Ropars","Joel Bêty","legagneux2018"
"Steve Vissault","Joel Bêty","legagneux2018"
"Philippe Archambault","Joel Bêty","legagneux2018"
"Dominique Berteaux","Joel Bêty","legagneux2018"
"Dominique Gravel","Joel Bêty","legagneux2018"
"Pierre Legagneux","Dominique Berteaux","legagneux2018"
"Nicolas Casajus","Dominique Berteaux","legagneux2018"
"Kevin Cazelles","Dominique Berteaux","legagneux2018"
"Clément Chevallier","Dominique Berteaux","legagneux2018"
"Marion Chevrinais","Dominique Berteaux","legagneux2018"
"Lorelei Guéry","Dominique Berteaux","legagneux2018"
"Claire Jacquet","Dominique Berteaux","legagneux2018"
"Mikael Jaffré","Dominique Berteaux","legagneux2018"
"Marie-José Naud","Dominique Berteaux","legagneux2018"
"Fanny Noisette","Dominique Berteaux","legagneux2018"
"Pascale Ropars","Dominique Berteaux","legagneux2018"
"Steve Vissault","Dominique Berteaux","legagneux2018"
"Philippe Archambault","Dominique Berteaux","legagneux2018"
"Joel Bêty","Dominique Berteaux","legagneux2018"
"Dominique Gravel","Dominique Berteaux","legagneux2018"
"Pierre Legagneux","Dominique Gravel","legagneux2018"
"Nicolas Casajus","Dominique Gravel","legagneux2018"
"Kevin Cazelles","Dominique Gravel","legagneux2018"
"Clément Chevallier","Dominique Gravel","legagneux2018"
"Marion Chevrinais","Dominique Gravel","legagneux2018"
"Lorelei Guéry","Dominique Gravel","legagneux2018"
"Claire Jacquet","Dominique Gravel","legagneux2018"
"Mikael Jaffré","Dominique Gravel","legagneux2018"
"Marie-José Naud","Dominique Gravel","legagneux2018"
"Fanny Noisette","Dominique Gravel","legagneux2018"
"Pascale Ropars","Dominique Gravel","legagneux2018"
"Steve Vissault","Dominique Gravel","legagneux2018"
"Philippe Archambault","Dominique Gravel","legagneux2018"
"Joel Bêty","Dominique Gravel","legagneux2018"
"Dominique Berteaux","Dominique Gravel","legagneux2018"
"Jill Jankowski","William Godsoe","godsoe2018"
"Robert D. Holt","William Godsoe","godsoe2018"
"Dominique Gravel","William Godsoe","godsoe2018"
"William Godsoe","Jill Jankowski","godsoe2018"
"Robert D. Holt","Jill Jankowski","godsoe2018"
"Dominique Gravel","Jill Jankowski","godsoe2018"
"William Godsoe","Robert D. Holt","godsoe2018"
"Jill Jankowski","Robert D. Holt","godsoe2018"
"Dominique Gravel","Robert D. Holt","godsoe2018"
"William Godsoe","Dominique Gravel","godsoe2018"
"Jill Jankowski","Dominique Gravel","godsoe2018"
"Robert D. Holt","Dominique Gravel","godsoe2018"
"Miguel Lurgi","Nuria Galiana","galiana2018"
"Bernat Claramunt-López","Nuria Galiana","galiana2018"
"Marie-Josée Fortin","Nuria Galiana","galiana2018"
"Shawn J. Leroux","Nuria Galiana","galiana2018"
"Kevin Cazelles","Nuria Galiana","galiana2018"
"Dominique Gravel","Nuria Galiana","galiana2018"
"José M. Montoya","Nuria Galiana","galiana2018"
"Nuria Galiana","Miguel Lurgi","galiana2018"
"Bernat Claramunt-López","Miguel Lurgi","galiana2018"
"Marie-Josée Fortin","Miguel Lurgi","galiana2018"
"Shawn J. Leroux","Miguel Lurgi","galiana2018"
"Kevin Cazelles","Miguel Lurgi","galiana2018"
"Dominique Gravel","Miguel Lurgi","galiana2018"
"José M. Montoya","Miguel Lurgi","galiana2018"
"Nuria Galiana","Bernat Claramunt-López","galiana2018"
"Miguel Lurgi","Bernat Claramunt-López","galiana2018"
"Marie-Josée Fortin","Bernat Claramunt-López","galiana2018"
"Shawn J. Leroux","Bernat Claramunt-López","galiana2018"
"Kevin Cazelles","Bernat Claramunt-López","galiana2018"
"Dominique Gravel","Bernat Claramunt-López","galiana2018"
"José M. Montoya","Bernat Claramunt-López","galiana2018"
"Nuria Galiana","Marie-Josée Fortin","galiana2018"
"Miguel Lurgi","Marie-Josée Fortin","galiana2018"
"Bernat Claramunt-López","Marie-Josée Fortin","galiana2018"
"Shawn J. Leroux","Marie-Josée Fortin","galiana2018"
"Kevin Cazelles","Marie-Josée Fortin","galiana2018"
"Dominique Gravel","Marie-Josée Fortin","galiana2018"
"José M. Montoya","Marie-Josée Fortin","galiana2018"
"Nuria Galiana","Shawn J. Leroux","galiana2018"
"Miguel Lurgi","Shawn J. Leroux","galiana2018"
"Bernat Claramunt-López","Shawn J. Leroux","galiana2018"
"Marie-Josée Fortin","Shawn J. Leroux","galiana2018"
"Kevin Cazelles","Shawn J. Leroux","galiana2018"
"Dominique Gravel","Shawn J. Leroux","galiana2018"
"José M. Montoya","Shawn J. Leroux","galiana2018"
"Nuria Galiana","Kevin Cazelles","galiana2018"
"Miguel Lurgi","Kevin Cazelles","galiana2018"
"Bernat Claramunt-López","Kevin Cazelles","galiana2018"
"Marie-Josée Fortin","Kevin Cazelles","galiana2018"
"Shawn J. Leroux","Kevin Cazelles","galiana2018"
"Dominique Gravel","Kevin Cazelles","galiana2018"
"José M. Montoya","Kevin Cazelles","galiana2018"
"Nuria Galiana","Dominique Gravel","galiana2018"
"Miguel Lurgi","Dominique Gravel","galiana2018"
"Bernat Claramunt-López","Dominique Gravel","galiana2018"
"Marie-Josée Fortin","Dominique Gravel","galiana2018"
"Shawn J. Leroux","Dominique Gravel","galiana2018"
"Kevin Cazelles","Dominique Gravel","galiana2018"
"José M. Montoya","Dominique Gravel","galiana2018"
"Nuria Galiana","José M. Montoya","galiana2018"
"Miguel Lurgi","José M. Montoya","galiana2018"
"Bernat Claramunt-López","José M. Montoya","galiana2018"
"Marie-Josée Fortin","José M. Montoya","galiana2018"
"Shawn J. Leroux","José M. Montoya","galiana2018"
"Kevin Cazelles","José M. Montoya","galiana2018"
"Dominique Gravel","José M. Montoya","galiana2018"
"Dominique Gravel","Pierre-Marc Brousseau","brousseau2018"
"I. Tanya Handa","Pierre-Marc Brousseau","brousseau2018"
"Pierre-Marc Brousseau","Dominique Gravel","brousseau2018"
"I. Tanya Handa","Dominique Gravel","brousseau2018"
"Pierre-Marc Brousseau","I. Tanya Handa","brousseau2018"
"Dominique Gravel","I. Tanya Handa","brousseau2018"
"Amber E Budden","Sébastien Renaut","renaut2018"
"Dominique Gravel","Sébastien Renaut","renaut2018"
"Timothée Poisot","Sébastien Renaut","renaut2018"
"Pedro Peres-Neto","Sébastien Renaut","renaut2018"
"Sébastien Renaut","Amber E Budden","renaut2018"
"Dominique Gravel","Amber E Budden","renaut2018"
"Timothée Poisot","Amber E Budden","renaut2018"
"Pedro Peres-Neto","Amber E Budden","renaut2018"
"Sébastien Renaut","Dominique Gravel","renaut2018"
"Amber E Budden","Dominique Gravel","renaut2018"
"Timothée Poisot","Dominique Gravel","renaut2018"
"Pedro Peres-Neto","Dominique Gravel","renaut2018"
"Sébastien Renaut","Timothée Poisot","renaut2018"
"Amber E Budden","Timothée Poisot","renaut2018"
"Dominique Gravel","Timothée Poisot","renaut2018"
"Pedro Peres-Neto","Timothée Poisot","renaut2018"
"Sébastien Renaut","Pedro Peres-Neto","renaut2018"
"Amber E Budden","Pedro Peres-Neto","renaut2018"
"Dominique Gravel","Pedro Peres-Neto","renaut2018"
"Timothée Poisot","Pedro Peres-Neto","renaut2018"
"Véronique Martel","Hedvig K. Nenzén","nenzen2018"
"Dominique Gravel","Hedvig K. Nenzén","nenzen2018"
"Hedvig K. Nenzén","Véronique Martel","nenzen2018"
"Dominique Gravel","Véronique Martel","nenzen2018"
"Hedvig K. Nenzén","Dominique Gravel","nenzen2018"
"Véronique Martel","Dominique Gravel","nenzen2018"
"Dominique Gravel","Bernat Bramon Mora","mora2018"
"Luis J. Gilarranz","Bernat Bramon Mora","mora2018"
"Timothée Poisot","Bernat Bramon Mora","mora2018"
"Daniel B. Stouffer","Bernat Bramon Mora","mora2018"
"Bernat Bramon Mora","Dominique Gravel","mora2018"
"Luis J. Gilarranz","Dominique Gravel","mora2018"
"Timothée Poisot","Dominique Gravel","mora2018"
"Daniel B. Stouffer","Dominique Gravel","mora2018"
"Bernat Bramon Mora","Luis J. Gilarranz","mora2018"
"Dominique Gravel","Luis J. Gilarranz","mora2018"
"Timothée Poisot","Luis J. Gilarranz","mora2018"
"Daniel B. Stouffer","Luis J. Gilarranz","mora2018"
"Bernat Bramon Mora","Timothée Poisot","mora2018"
"Dominique Gravel","Timothée Poisot","mora2018"
"Luis J. Gilarranz","Timothée Poisot","mora2018"
"Daniel B. Stouffer","Timothée Poisot","mora2018"
"Bernat Bramon Mora","Daniel B. Stouffer","mora2018"
"Dominique Gravel","Daniel B. Stouffer","mora2018"
"Luis J. Gilarranz","Daniel B. Stouffer","mora2018"
"Timothée Poisot","Daniel B. Stouffer","mora2018"
"Dominique Gravel","Laura J. Raymond-Léonard","raymond2018"
"Peter B. Reich","Laura J. Raymond-Léonard","raymond2018"
"I. Tanya Handa","Laura J. Raymond-Léonard","raymond2018"
"Laura J. Raymond-Léonard","Dominique Gravel","raymond2018"
"Peter B. Reich","Dominique Gravel","raymond2018"
"I. Tanya Handa","Dominique Gravel","raymond2018"
"Laura J. Raymond-Léonard","Peter B. Reich","raymond2018"
"Dominique Gravel","Peter B. Reich","raymond2018"
"I. Tanya Handa","Peter B. Reich","raymond2018"
"Laura J. Raymond-Léonard","I. Tanya Handa","raymond2018"
"Dominique Gravel","I. Tanya Handa","raymond2018"
"Peter B. Reich","I. Tanya Handa","raymond2018"
"Kevin A. Solarik","Aitor Ameztegui","ameztegui2018"
"John R Parkins","Aitor Ameztegui","ameztegui2018"
"Daniel Houle","Aitor Ameztegui","ameztegui2018"
"Christian Messier","Aitor Ameztegui","ameztegui2018"
"Dominique Gravel","Aitor Ameztegui","ameztegui2018"
"Aitor Ameztegui","Kevin A. Solarik","ameztegui2018"
"John R Parkins","Kevin A. Solarik","ameztegui2018"
"Daniel Houle","Kevin A. Solarik","ameztegui2018"
"Christian Messier","Kevin A. Solarik","ameztegui2018"
"Dominique Gravel","Kevin A. Solarik","ameztegui2018"
"Aitor Ameztegui","John R Parkins","ameztegui2018"
"Kevin A. Solarik","John R Parkins","ameztegui2018"
"Daniel Houle","John R Parkins","ameztegui2018"
"Christian Messier","John R Parkins","ameztegui2018"
"Dominique Gravel","John R Parkins","ameztegui2018"
"Aitor Ameztegui","Daniel Houle","ameztegui2018"
"Kevin A. Solarik","Daniel Houle","ameztegui2018"
"John R Parkins","Daniel Houle","ameztegui2018"
"Christian Messier","Daniel Houle","ameztegui2018"
"Dominique Gravel","Daniel Houle","ameztegui2018"
"Aitor Ameztegui","Christian Messier","ameztegui2018"
"Kevin A. Solarik","Christian Messier","ameztegui2018"
"John R Parkins","Christian Messier","ameztegui2018"
"Daniel Houle","Christian Messier","ameztegui2018"
"Dominique Gravel","Christian Messier","ameztegui2018"
"Aitor Ameztegui","Dominique Gravel","ameztegui2018"
"Kevin A. Solarik","Dominique Gravel","ameztegui2018"
"John R Parkins","Dominique Gravel","ameztegui2018"
"Daniel Houle","Dominique Gravel","ameztegui2018"
"Christian Messier","Dominique Gravel","ameztegui2018"
"Jens-Christian Svenning","Isabelle Boulangeat","boulangeat2018"
"Tanguy Daufresne","Isabelle Boulangeat","boulangeat2018"
"Mathieu Leblond","Isabelle Boulangeat","boulangeat2018"
"Dominique Gravel","Isabelle Boulangeat","boulangeat2018"
"Isabelle Boulangeat","Jens-Christian Svenning","boulangeat2018"
"Tanguy Daufresne","Jens-Christian Svenning","boulangeat2018"
"Mathieu Leblond","Jens-Christian Svenning","boulangeat2018"
"Dominique Gravel","Jens-Christian Svenning","boulangeat2018"
"Isabelle Boulangeat","Tanguy Daufresne","boulangeat2018"
"Jens-Christian Svenning","Tanguy Daufresne","boulangeat2018"
"Mathieu Leblond","Tanguy Daufresne","boulangeat2018"
"Dominique Gravel","Tanguy Daufresne","boulangeat2018"
"Isabelle Boulangeat","Mathieu Leblond","boulangeat2018"
"Jens-Christian Svenning","Mathieu Leblond","boulangeat2018"
"Tanguy Daufresne","Mathieu Leblond","boulangeat2018"
"Dominique Gravel","Mathieu Leblond","boulangeat2018"
"Isabelle Boulangeat","Dominique Gravel","boulangeat2018"
"Jens-Christian Svenning","Dominique Gravel","boulangeat2018"
"Tanguy Daufresne","Dominique Gravel","boulangeat2018"
"Mathieu Leblond","Dominique Gravel","boulangeat2018"
"Benjamin Baiser","Dominique Gravel","gravel2019"
"Jennifer A. Dunne","Dominique Gravel","gravel2019"
"Jens-Peter Kopelke","Dominique Gravel","gravel2019"
"Neo D. Martinez","Dominique Gravel","gravel2019"
"Tommi Nyman","Dominique Gravel","gravel2019"
"Timothée Poisot","Dominique Gravel","gravel2019"
"Daniel B. Stouffer","Dominique Gravel","gravel2019"
"Jason M. Tylianakis","Dominique Gravel","gravel2019"
"Spencer A. Wood","Dominique Gravel","gravel2019"
"Tomas Roslin","Dominique Gravel","gravel2019"
"Dominique Gravel","Benjamin Baiser","gravel2019"
"Jennifer A. Dunne","Benjamin Baiser","gravel2019"
"Jens-Peter Kopelke","Benjamin Baiser","gravel2019"
"Neo D. Martinez","Benjamin Baiser","gravel2019"
"Tommi Nyman","Benjamin Baiser","gravel2019"
"Timothée Poisot","Benjamin Baiser","gravel2019"
"Daniel B. Stouffer","Benjamin Baiser","gravel2019"
"Jason M. Tylianakis","Benjamin Baiser","gravel2019"
"Spencer A. Wood","Benjamin Baiser","gravel2019"
"Tomas Roslin","Benjamin Baiser","gravel2019"
"Dominique Gravel","Jennifer A. Dunne","gravel2019"
"Benjamin Baiser","Jennifer A. Dunne","gravel2019"
"Jens-Peter Kopelke","Jennifer A. Dunne","gravel2019"
"Neo D. Martinez","Jennifer A. Dunne","gravel2019"
"Tommi Nyman","Jennifer A. Dunne","gravel2019"
"Timothée Poisot","Jennifer A. Dunne","gravel2019"
"Daniel B. Stouffer","Jennifer A. Dunne","gravel2019"
"Jason M. Tylianakis","Jennifer A. Dunne","gravel2019"
"Spencer A. Wood","Jennifer A. Dunne","gravel2019"
"Tomas Roslin","Jennifer A. Dunne","gravel2019"
"Dominique Gravel","Jens-Peter Kopelke","gravel2019"
"Benjamin Baiser","Jens-Peter Kopelke","gravel2019"
"Jennifer A. Dunne","Jens-Peter Kopelke","gravel2019"
"Neo D. Martinez","Jens-Peter Kopelke","gravel2019"
"Tommi Nyman","Jens-Peter Kopelke","gravel2019"
"Timothée Poisot","Jens-Peter Kopelke","gravel2019"
"Daniel B. Stouffer","Jens-Peter Kopelke","gravel2019"
"Jason M. Tylianakis","Jens-Peter Kopelke","gravel2019"
"Spencer A. Wood","Jens-Peter Kopelke","gravel2019"
"Tomas Roslin","Jens-Peter Kopelke","gravel2019"
"Dominique Gravel","Neo D. Martinez","gravel2019"
"Benjamin Baiser","Neo D. Martinez","gravel2019"
