"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Smerinthus jamaicensis","Smerinthus jamaicensis","species","Sphinx géminé","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Smerinthus","Smerinthus jamaicensis"
"Catocala relicta","Catocala relicta","species","Likenée blanche","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Catocala","Catocala relicta"
"Actias luna","Actias luna","species","Papillon lune","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Actias","Actias luna"
"Macaria occiduaria","Macaria occiduaria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Speranza","Macaria occiduaria"
"Lasionycta secedens","Lasionycta secedens","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lasionycta","Lasionycta secedens"
"Feltia jaculifera","Feltia jaculifera","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Feltia","Feltia jaculifera"
"Heraclides cresphontes","Papilio","subgenus","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio cresphontes"
"Acronicta impleta","Acronicta impleta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta impleta"
"Oidaematophorus eupatorii","Oidaematophorus eupatorii","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pterophoridae","Oidaematophorus","Oidaematophorus eupatorii"
"Autographa bimaculata","Autographa bimaculata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Autographa bimaculata"
"Lophocampa caryae","Lophocampa caryae","species","Halysidote du caryer","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa","Lophocampa caryae"
"Xanthorhoe ferrugata","Xanthorhoe ferrugata","species","Rouillée","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Xanthorhoe","Xanthorhoe ferrugata"
"Eulithis explanata","Eulithis explanata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eulithis","Eulithis explanata"
"Macaria brunneata","Macaria brunneata","species","Phidonie à cinq raies","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Macaria","Speranza brunneata"
"Sympistis dinalda","Sympistis dinalda","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Sympistis","Sympistis dinalda"
"Autographa mappa","Autographa mappa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Autographa mappa"
"Enchrysa dissectella","Enchrysa dissectella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Enchrysa","Enchrysa dissectella"
"Acleris maccana","Acleris maccana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris maccana"
"Chytonix palliatricula","Chytonix palliatricula","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Chytonix","Chytonix palliatricula"
"Ponometia erastrioides","Ponometia erastrioides","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Ponometia","Acontia erastrioides"
"Erynnis icelus","Erynnis icelus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis icelus"
"Aplocera plagiata","Aplocera plagiata","species","Triple raie","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Aplocera","Aplocera plagiata"
"Lycophotia phyllophora","Lycophotia phyllophora","species","Heptagrotis phyllophora","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lycophotia","Lycophotia phyllophora"
"Oedemasia","Schizura","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Schizura",""
"Cryptocala acadiensis","Cryptocala acadiensis","species","Fausse-likenée du robinier","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Cryptocala","Cryptocala acadiensis"
"Patania silicalis","Pleuroptya silicalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Pleuroptya","Pleuroptya silicalis"
"Idia aemula","Idia aemula","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Idia","Idia aemula"
"Nepytia canosaria","Nepytia canosaria","species","Arpenteuse (fausse) de la pruche","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nepytia","Nepytia canosaria"
"Argyresthia thuiella","Argyresthia thuiella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Argyresthiidae","Argyresthia","Argyresthia thuiella"
"Athrips mouffetella","Athrips mouffetella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Athrips","Athrips mouffetella"
"Venusia comptaria","Venusia comptaria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Venusia","Venusia comptaria"
"Eutrapela clemataria","Eutrapela clemataria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eutrapela","Eutrapela clemataria"
"Acleris nivisellana","Acleris nivisellana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris nivisellana"
"Lycia ursaria","Lycia ursaria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lycia","Lycia ursaria"
"Cladara atroliturata","Cladara atroliturata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Cladara","Cladara atroliturata"
"Morrisonia latex","Morrisonia latex","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Morrisonia","Morrisonia latex"
"Horisme intestinata","Horisme intestinata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Horisme","Horisme intestinata"
"Halysidota","Halysidota","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Halysidota",""
"Panthea furcilla","Panthea furcilla","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Panthea","Panthea furcilla"
"Epiglaea apiata","Epiglaea apiata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Epiglaea","Epiglaea apiata"
"Diarsia dislocata","Diarsia dislocata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Diarsia","Diarsia dislocata"
"Phalaenostola eumelusalis","Phalaenostola eumelusalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Phalaenostola","Phalaenostola eumelusalis"
"Melanomma auricinctaria","Melanomma auricinctaria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Melanomma","Melanomma auricinctaria"
"Thera juniperata","Thera juniperata","species","Phalène du genévrier","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Thera","Thera juniperata"
"Zanclognatha pedipilalis","Zanclognatha pedipilalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Zanclognatha","Zanclognatha pedipilalis"
"Phlogophora iris","Phlogophora iris","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Phlogophora","Phlogophora iris"
"Dyspyralis puncticosta","Dyspyralis puncticosta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dyspyralis","Dyspyralis puncticosta"
"Hyalophora cecropia","Hyalophora cecropia","species","Saturnie cécropia","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Hyalophora","Hyalophora cecropia"
"Sthenopis purpurascens","Sthenopis purpurascens","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hepialidae","Sthenopis","Sthenopis purpurascens"
"Sphinx poecila","Sphinx poecila","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Sphinx","Sphinx poecila"
"Autographa precationis","Autographa precationis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Autographa precationis"
"Hypenodes fractilinea","Hypenodes fractilinea","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypenodes","Hypenodes fractilinea"
"Pheosia rimosa","Pheosia rimosa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Pheosia","Pheosia rimosa"
"Lacinipolia olivacea","Lacinipolia olivacea","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lacinipolia","Lacinipolia olivacea"
"Ochropleura implecta","Ochropleura implecta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Ochropleura","Ochropleura implecta"
"Plusia putnami","Plusia putnami","species","La plusie des laîches, la plusie des marais","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Plusia","Plusia putnami"
"Feltia subgothica","Feltia subgothica","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Feltia","Feltia subgothica"
"Colocasia flavicornis","Colocasia flavicornis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Colocasia","Colocasia flavicornis"
"Zale metatoides","Zale metatoides","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Zale","Zale metatoides"
"Malacosoma disstria","Malacosoma disstria","species","Livrée des forêts","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Malacosoma","Malacosoma disstria"
"Tetracis cachexiata","Tetracis cachexiata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Tetracis","Tetracis cachexiata"
"Xanthotype","Xanthotype","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Xanthotype",""
"Coelodasys","Schizura","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Schizura",""
"Sympistis badistriga","Sympistis badistriga","species","Noctuelle du chèvrefeuille","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Sympistis","Sympistis badistriga"
"Caloptilia invariabilis","Caloptilia invariabilis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Caloptilia","Caloptilia invariabilis"
"Caripeta angustiorata","Caripeta angustiorata","species","Arpenteuse brune du pin","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Caripeta","Caripeta angustiorata"
"Lithophane amanda","Lithophane amanda","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lithophane","Lithophane amanda"
"Dichomeris flavocostella","Dichomeris flavocostella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Dichomeris","Dichomeris flavocostella"
"Eudryas grata","Eudryas grata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Eudryas","Eudryas grata"
"Eulithis molliculata","Eulithis molliculata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eulithis","Eulithis molliculata"
"Drepana bilineata","Drepana bilineata","species","Faucille dentelée","Animalia","Arthropoda","Insecta","Lepidoptera","Drepanidae","Falcaria","Falcaria bilineata"
"Xanthorhoe labradorensis","Xanthorhoe labradorensis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Xanthorhoe","Xanthorhoe labradorensis"
"Catocala subnata","Catocala subnata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Catocala","Catocala subnata"
"Hymenia perspectalis","Hymenia perspectalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hymenia","Hymenia perspectalis"
"Argyrotaenia velutinana","Argyrotaenia velutinana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Argyrotaenia","Argyrotaenia velutinana"
"Anaplectoides prasina","Anaplectoides prasina","species","Noctuelle verte","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Anaplectoides","Anaplectoides prasina"
"Conservula anodonta","Conservula anodonta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Conservula","Conservula anodonta"
"Baileya ophthalmica","Baileya ophthalmica","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Baileya","Baileya ophthalmica"
"Cenopis reticulatana","Cenopis reticulatana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Cenopis","Cenopis reticulatana"
"Vitula edmandsii","Vitula edmandsii","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Vitula","Vitula edmandsii"
"Macaria pustularia","Macaria pustularia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Speranza","Macaria pustularia"
"Maliattha synochitis","Maliattha synochitis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Maliattha","Maliattha synochitis"
"Perizoma alchemillata","Perizoma alchemillata","species","La périzome coupée","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Perizoma","Perizoma alchemillata"
"Orgyia leucostigma","Orgyia leucostigma","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Orgyia","Orgyia leucostigma"
"Schinia florida","Schinia florida","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Schinia","Schinia florida"
"Ennomos magnaria","Ennomos magnaria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Ennomos","Ennomos magnaria"
"Feralia jocosa","Feralia jocosa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Feralia","Feralia jocosa"
"Galgula partita","Galgula partita","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Galgula","Galgula partita"
"Megisto cymela","Megisto cymela","species","Petit satyre des bois","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euptychia","Euptychia cymela"
"Ypsolopha dentella","Ypsolopha dentella","species","L'harpiptéryx harpon","Animalia","Arthropoda","Insecta","Lepidoptera","Ypsolophidae","Ypsolopha","Ypsolopha dentella"
"Archips purpurana","Archips purpurana","species","Tortrix purpurin","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Archips","Archips purpurana"
"Lobophora nivigerata","Lobophora nivigerata","species","Arpenteuse bilignée","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lobophora","Lobophora nivigerata"
"Fumibotys fumalis","Fumibotys fumalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Fumibotys","Fumibotys fumalis"
"Euxoa comosa","Euxoa comosa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa comosa"
"Pammene perstructana","Pammene perstructana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Pammene","Pammene perstructana"
"Chytolita morbidalis","Chytolita morbidalis","species","Chytolita morbidalis","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Macrochilo","Chytolita morbidalis"
"Apamea alia","Apamea alia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea alia"
"Parectopa plantaginisella","Parectopa plantaginisella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Parectopa","Parectopa plantaginisella"
"Fishia illocata","Fishia illocata","species","Oligia illocata","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Fishia","Fishia illocata"
"Epirrhoe alternata","Epirrhoe alternata","species","Alternée","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Epirrhoe","Epirrhoe alternata"
"Iridopsis ephyraria","Iridopsis ephyraria","species","Anacamptodes ephyraria","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Iridopsis","Iridopsis ephyraria"
"Parectopa robiniella","Parectopa robiniella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Parectopa","Parectopa robiniella"
"Argyrotaenia quadrifasciana","Argyrotaenia quadrifasciana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Argyrotaenia","Argyrotaenia quadrifasciana"
"Caripeta piniata","Caripeta piniata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Caripeta","Caripeta piniata"
"Acronicta americana","Acronicta americana","species","Acronycte d'amérique","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta americana"
"Euclidia cuspidea","Euclidia cuspidea","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Euclidia","Euclidia cuspidea"
"Ectropis crepuscularia","Ectropis crepuscularia","species","Arpenteuse bossue de la pruche","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Ectropis","Ectropis crepuscularia"
"Ceratomia undulosa","Ceratomia undulosa","species","Sphinx ondulé","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Ceratomia","Ceratomia undulosa"
"Sciota basilaris","Sciota basilaris","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Sciota","Sciota basilaris"
"Hypena baltimoralis","Hypena baltimoralis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena baltimoralis"
"Pheosidea elegans","Pheosidea elegans","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Pheosidea","Pheosidea elegans"
"Elophila icciusalis","Elophila icciusalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Elophila","Elophila icciusalis"
"Hypena palparia","Hypena palparia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena palparia"
"Pyrausta orphisalis","Pyrausta orphisalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Pyrausta","Pyrausta orphisalis"
"Prionoxystus robiniae","Prionoxystus robiniae","species","Charpentier des bois tendres","Animalia","Arthropoda","Insecta","Lepidoptera","Cossidae","Prionoxystus","Prionoxystus robiniae"
"Sunira bicolorago","Sunira bicolorago","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","Agrochola bicolorago"
"Hemaris diffinis","Hemaris diffinis","species","Sphinx du chèvrefeuille","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Hemaris","Hemaris diffinis"
"Mompha eloisella","Mompha eloisella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Momphidae","Mompha","Mompha eloisella"
"Epinotia medioviridana","Epinotia medioviridana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia medioviridana"
"Cladara limitaria","Cladara limitaria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Cladara","Cladara limitaria"
"Euphyia intermediata","Euphyia intermediata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Euphyia","Euphyia intermediata"
"Euplexia benesimilis","Euplexia benesimilis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euplexia","Euplexia benesimilis"
"Gillmeria pallidactyla","Gillmeria pallidactyla","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pterophoridae","Gillmeria","Gillmeria pallidactyla"
"Besma quercivoraria","Besma quercivoraria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Besma","Besma quercivoraria"
"Rhopobota finitimana","Rhopobota finitimana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Rhopobota","Rhopobota finitimana"
"Zanclognatha dentata","Zanclognatha dentata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Zanclognatha","Zanclognatha dentata"
"Epinotia radicana","Epinotia radicana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Epinotia","Epinotia radicana"
"Syngrapha octoscripta","Syngrapha octoscripta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Syngrapha","Syngrapha octoscripta"
"Thyris maculata","Thyris maculata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Thyrididae","Thyris","Thyris maculata"
"Elaphria alapallida","Elaphria alapallida","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Elaphria","Elaphria alapallida"
"Polia nimbosa","Polia nimbosa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Polia","Polia nimbosa"
"Spodolepis substriataria","Spodolepis substriataria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Spodolepis","Spodolepis substriataria"
"Operophtera bruceata","Operophtera bruceata","species","Arpenteuse de bruce","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Operophtera","Operophtera bruceata"
"Palthis angulalis","Palthis angulalis","species","Arlequin de l'épinette","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Palthis","Palthis angulalis"
"Ceratomia amyntor","Ceratomia amyntor","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Ceratomia","Ceratomia amyntor"
"Carpatolechia belangerella","Carpatolechia belangerella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Carpatolechia","Carpatolechia belangerella"
"Callopistria cordata","Callopistria cordata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Callopistria","Callopistria cordata"
"Eichlinia cucurbitae","Eichlinia cucurbitae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Sesiidae","Eichlinia","Eichlinia cucurbitae"
"Proteoteras moffatiana","Proteoteras moffatiana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Proteoteras","Proteoteras moffatiana"
"Eueretagrotis perattentus","Eueretagrotis perattentus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Eueretagrotis","Eueretagrotis perattentus"
"Acronicta innotata","Acronicta innotata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta innotata"
"Notocelia rosaecolana","Notocelia rosaecolana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Notocelia","Notocelia rosaecolana"
"Crambus praefectellus","Crambus praefectellus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Crambus","Crambus praefectellus"
"Hypena eductalis","Hypena eductalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena eductalis"
"Cingilia catenaria","Cingilia catenaria","species","Arpenteuse caténaire","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Cingilia","Cingilia catenaria"
"Tricholita signata","Tricholita signata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Tricholita","Tricholita signata"
"Feltia herilis","Feltia herilis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Feltia","Feltia herilis"
"Morrisonia confusa","Morrisonia confusa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Achatia","Morrisonia confusa"
"Choristoneura rosaceana","Choristoneura rosaceana","species","Tordeuse à bandes obliques","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Choristoneura","Choristoneura rosaceana"
"Digrammia ocellinata","Digrammia ocellinata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Digrammia","Digrammia ocellinata"
"Cnephasia stephensiana","Cnephasia stephensiana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Cnephasia","Cnephasia stephensiana"
"Spiramater lutra","Spiramater lutra","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spiramater","Spiramater lutra"
"Xanthorhoe decoloraria","Xanthorhoe decoloraria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Xanthorhoe","Xanthorhoe decoloraria"
"Pyrausta acrionalis","Pyrausta acrionalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Pyrausta","Pyrausta acrionalis"
"Spilosoma congrua","Spilosoma congrua","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Spilosoma","Spilosoma congrua"
"Sthenopis argenteomaculatus","Sthenopis argenteomaculatus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hepialidae","Sthenopis","Sthenopis argenteomaculatus"
"Agonopterix curvilineella","Agonopterix curvilineella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Depressariidae","Agonopterix","Agonopterix curvilineella"
"Lygropia rivulalis","Lygropia rivulalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Lygropia","Lygropia rivulalis"
"Peridroma saucia","Peridroma saucia","species","Ver-gris panaché","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Peridroma","Peridroma saucia"
"Herpetogramma aeglealis","Herpetogramma aeglealis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Herpetogramma","Herpetogramma aeglealis"
"Resapamea stipata","Resapamea stipata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Resapamea","Resapamea stipata"
"Lon hobomok","Lon hobomok","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lon","Lon hobomok"
"Venusia cambrica","Venusia cambrica","species","La cidarie du sorbier","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Venusia","Venusia cambrica"
"Korscheltellus lupulina","Korscheltellus lupulina","species","La louvette","Animalia","Arthropoda","Insecta","Lepidoptera","Hepialidae","Korscheltellus","Korscheltellus lupulina"
"Haematopis grataria","Haematopis grataria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Haematopis","Haematopis grataria"
"Spaelotis clandestina","Spaelotis clandestina","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spaelotis","Spaelotis clandestina"
"Hemaris aethra","Hemaris diffinis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Hemaris","Hemaris diffinis"
"Acrobasis amplexella","Acrobasis amplexella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis amplexella"
"Amphipyra pyramidoides","Amphipyra pyramidoides","species","Noctuelle cuivrée","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Amphipyra","Amphipyra pyramidoides"
"Zanclognatha jacchusalis","Zanclognatha jacchusalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Zanclognatha","Zanclognatha jacchusalis"
"Eurois astricta","Eurois astricta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Eurois","Eurois astricta"
"Acleris curvalana","Acleris curvalana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris curvalana"
"Acrobasis tricolorella","Acrobasis tricolorella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis tricolorella"
"Idia rotundalis","Idia rotundalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Idia","Idia rotundalis"
"Crambus laqueatellus","Crambus laqueatellus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Crambus","Crambus laqueatellus"
"Batrachedra pinicolella","Batrachedra pinicolella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Batrachedridae","Batrachedra","Batrachedra pinicolella"
"Protoboarmia porcelaria","Protoboarmia porcelaria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Protoboarmia","Protoboarmia porcelaria"
"Olethreutes exoletum","Olethreutes exoletum","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Olethreutes","Olethreutes exoletum"
"Habrosyne gloriosa","Habrosyne gloriosa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Thyatiridae","Habrosyne","Habrosyne gloriosa"
"Feralia comstocki","Feralia comstocki","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Feralia","Feralia comstocki"
"Catocala concumbens","Catocala concumbens","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Catocala","Catocala concumbens"
"Zale lunata","Zale lunata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Zale","Zale lunata"
"Caenurgina crassiuscula","Caenurgina crassiuscula","species","Arpenteuse du trèfle","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Caenurgina","Caenurgina crassiuscula"
"Acleris chalybeana","Acleris chalybeana","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris chalybeana"
