"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Polites origenes","Polites origenes","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites origenes"
"Speyeria cybele","Speyeria cybele","species","Argynne cybèle","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria cybele"
"Anatrytone logan","Anatrytone logan","species","Hespérie de logan","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Atrytone","Atrytone delaware"
"Papilio cresphontes","Papilio cresphontes","species","Grand porte-queue","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio cresphontes"
"Cupido comyntas","Cupido comyntas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Elkalyce","Cupido comyntas"
"Papilio glaucus","Papilio glaucus","species","Papillon glauque","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio glaucus"
"Hesperia sassacus","Hesperia sassacus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia sassacus"
"Cercyonis pegala","Cercyonis pegala","species","Satyre des prés","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cercyonis","Cercyonis pegala"
"Danaus plexippus","Danaus plexippus","species","Monarque","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus plexippus"
"Erynnis juvenalis","Erynnis juvenalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis juvenalis"
"Vanessa atalanta","Vanessa atalanta","species","Vulcain","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta"
"Lethe anthedon","Lethe anthedon","species","Satyre perlé","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe","Lethe anthedon"
"Lethe eurydice","Lethe eurydice","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe","Lethe eurydice"
"Megisto cymela","Megisto cymela","species","Petit satyre des bois","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euptychia","Megisto cymela"
"Erynnis lucilius","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis scudderi"
"Satyrium caryaevorus","Satyrium caryaevorus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Strymon caryaevorus"
"Colias hecla","Colias hecla","species","Ambré","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias hecla"
"Neophasia menapia","Neophasia menapia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Neophasia","Neophasia menapia"
"Chlosyne palla","Chlosyne palla","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne palla"
"Erynnis pacuvius","Erynnis pacuvius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis pacuvius"
"Papilio palamedes","Papilio palamedes","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio palamedes"
"Calycopis cecrops","Calycopis cecrops","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Calycopis","Calycopis cecrops"
"Pieris oleracea","Pieris oleracea","species","Piéride des crucifères","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris oleracea"
"Agraulis vanillae","Agraulis vanillae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dione","Dione vanillae"
"Pyrgus oileus","Pyrgus oileus","species","Hespérie tropicale à damier","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus oileus"
"Siproeta stelenes","Siproeta stelenes","species","Malachite","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Siproeta","Siproeta stelenes"
"Hypaurotis crysalus","Hypaurotis crysalus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Hypaurotis","Hypaurotis crysalus"
"Celastrina lucia","Celastrina lucia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Celastrina","Celastrina lucia"
"Phyciodes tharos","Phyciodes tharos","species","Croissant perlé","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes","Phyciodes tharos"
"Ancyloxypha numitor","Ancyloxypha numitor","species","Hespérie délicate","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ancyloxypha","Ancyloxypha numitor"
"Nymphalis antiopa","Nymphalis antiopa","species","Chenille épineuse de l'orme","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Nymphalis","Nymphalis antiopa"
"Poanes viator","Poanes viator","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Poanes","Poanes viator"
"Euphydryas phaeton","Euphydryas phaeton","species","Baltimore","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euphydryas","Euphydryas phaeton"
"Lycaena epixanthe","Lycaena epixanthe","species","Cuivre des tourbières","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena epixanthe"
"Polygonia comma","Polygonia comma","species","Polygone virgule","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia comma"
"Vanessa cardui","Vanessa cardui","species","Belle dame","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa cardui"
"Epargyreus clarus","Epargyreus clarus","species","Hespérie à taches argentées","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Epargyreus","Epargyreus clarus"
"Euphyes vestris","Euphyes vestris","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Euphyes","Euphyes vestris"
"Papilio polyxenes","Papilio polyxenes","species","Papillon du céleri","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Papilio","Charaxes bernardus"
"Celastrina neglecta","Celastrina neglecta","species","Azur estival","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Celastrina","Cyaniris neglecta"
"Colias interior","Colias interior","species","Coliade intérieure","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias interior"
"Callophrys augustinus","Callophrys augustinus","species","Lutin brun","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Incisalia","Incisalia irioides"
"Polites mystic","Polites mystic","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites mystic"
