"observed_scientific_name","year_obs","day_obs","time_obs","dwc_event_date","obs_variable","obs_unit","obs_value","lat","lon","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Coenonympha inornata",1959,6,"00:00:00","1959-06-23T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Erynnis icelus",1959,6,"00:00:00","1959-06-03T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Erynnis icelus",1959,6,"00:00:00","1959-06-26T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Pieris rapae",1959,7,"00:00:00","1959-07-08T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Limenitis arthemis",1959,7,"00:00:00","1959-07-25T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Limenitis arthemis",1959,6,"00:00:00","1959-06-29T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Limenitis arthemis",1959,7,"00:00:00","1959-07-10T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Limenitis arthemis",1959,6,"00:00:00","1959-06-26T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Limenitis arthemis",1959,6,"00:00:00","1959-06-23T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Glaucopsyche lygdamus",1959,6,"00:00:00","1959-06-19T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Danaus plexippus",1959,8,"00:00:00","1959-08-22T00:00:00","presence",NA,1,46.3906,-75.0296,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Lethe anthedon",1959,6,"00:00:00","1959-06-28T00:00:00","presence",NA,1,45.7754,-74.0049,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Lethe eurydice",1959,6,"00:00:00","1959-06-26T00:00:00","presence",NA,1,45.7754,-74.0049,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Celastrina lucia",1959,5,"00:00:00","1959-05-29T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Celastrina lucia",1959,6,"00:00:00","1959-06-11T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Euphydryas phaeton",1959,7,"00:00:00","1959-07-05T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Euphydryas phaeton",1959,7,"00:00:00","1959-07-08T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia comma",1959,8,"00:00:00","1959-08-28T00:00:00","presence",NA,1,46.3906,-75.0296,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Vanessa atalanta",1959,6,"00:00:00","1959-06-23T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polites peckius",1959,7,"00:00:00","1959-07-25T00:00:00","presence",NA,1,46.2601,-73.6942,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polites peckius",1959,7,"00:00:00","1959-07-12T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polites peckius",1959,7,"00:00:00","1959-07-14T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Lycaena phlaeas",1959,7,"00:00:00","1959-07-25T00:00:00","presence",NA,1,46.2601,-73.6942,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Limenitis arthemis",1959,6,"00:00:00","1959-06-26T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia gracilis",1959,7,"00:00:00","1959-07-25T00:00:00","presence",NA,1,46.2601,-73.6942,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Celastrina neglecta",1959,7,"00:00:00","1959-07-26T00:00:00","presence",NA,1,45.5017,-73.5673,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polites mystic",1959,6,"00:00:00","1959-06-26T00:00:00","presence",NA,1,45.7754,-74.0049,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Carterocephalus palaemon",1959,6,"00:00:00","1959-06-18T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Ancyloxypha numitor",1959,8,"","1959-08-23","presence",NA,1,45.3933,-73.9551,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Ancyloxypha numitor",1959,8,"","1959-08-22","presence",NA,1,45.3933,-73.9551,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Epargyreus clarus",1959,7,"","1959-07-09","presence",NA,1,45.4954,-74.0284,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia progne",1959,7,"","1959-07-11","presence",NA,1,47.2007,-69.6847,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Plebejus idas",1959,7,"","1959-07-11","presence",NA,1,47.1609,-70.3155,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Cupido comyntas",1959,8,"","1959-08-29","presence",NA,1,46.5872,-71.2112,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Amblyscirtes hegon",1959,7,"","1959-07-07","presence",NA,1,46.7938,-71.3519,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Euphyes vestris",1959,7,"","1959-07-07","presence",NA,1,46.2483,-72.0022,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Coenonympha inornata",1959,5,"","1959-05-31","presence",NA,1,45.9931,-73.2985,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Pieris rapae",1959,7,"","1959-07-12","presence",NA,1,46.8665,-71.6399,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Chlosyne nycteis",1959,6,"","1959-06-25","presence",NA,1,48.1095,-75.3605,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Speyeria cybele",1959,7,"","1959-07-09","presence",NA,1,46.65,-71.5667,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Celastrina lucia",1959,7,"","1959-07-11","presence",NA,1,46.7146,-71.2605,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Glaucopsyche lygdamus",1959,7,"","1959-07-11","presence",NA,1,46.3704,-71.8831,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Amblyscirtes hegon",1959,6,"","1959-06-15","presence",NA,1,46.6136,-71.5124,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Carterocephalus palaemon",1959,7,"00:00:00","1959-07-04T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Carterocephalus palaemon",1959,6,"00:00:00","1959-06-04T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Carterocephalus palaemon",1959,6,"00:00:00","1959-06-25T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Carterocephalus palaemon",1959,6,"00:00:00","1959-06-11T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Carterocephalus palaemon",1959,6,"00:00:00","1959-06-20T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Papilio canadensis",1959,6,"00:00:00","1959-06-03T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Papilio canadensis",1959,5,"00:00:00","1959-05-27T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Papilio canadensis",1959,5,"00:00:00","1959-05-28T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Papilio canadensis",1959,6,"00:00:00","1959-06-26T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Phyciodes cocyta",1959,6,"00:00:00","1959-06-26T00:00:00","presence",NA,1,45.7754,-74.0049,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Speyeria atlantis",1959,6,"00:00:00","1959-06-26T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Chlosyne harrisii",1959,6,"00:00:00","1959-06-27T00:00:00","presence",NA,1,45.7754,-74.0049,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia faunus",1959,5,"00:00:00","1959-05-31T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia faunus",1959,5,"00:00:00","1959-05-28T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia faunus",1959,8,"00:00:00","1959-08-26T00:00:00","presence",NA,1,46.3906,-75.0296,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia faunus",1959,6,"00:00:00","1959-06-03T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia faunus",1959,7,"00:00:00","1959-07-25T00:00:00","presence",NA,1,46.2601,-73.6942,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Polygonia faunus",1959,6,"00:00:00","1959-06-20T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Colias interior",1959,6,"00:00:00","1959-06-12T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Colias interior",1959,7,"00:00:00","1959-07-25T00:00:00","presence",NA,1,46.2601,-73.6942,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Pieris oleracea",1959,5,"00:00:00","1959-05-28T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Pieris oleracea",1959,7,"00:00:00","1959-07-13T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Pieris oleracea",1959,6,"00:00:00","1959-06-19T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
"Pieris oleracea",1959,6,"00:00:00","1959-06-02T00:00:00","presence",NA,1,46.375,-74.5069,"ebutterfly","Maxim Larrivée, Jeremy Kerr, Kent McFarland and Katy Prudic","eButterfly","ebutterfly","eButterfly","","eButterfly"
